strain	sex	animal_id	age	gait_score
KK/HlJ	f	00068d0875	12	3
KK/HlJ	f	00068d2dea	12	3
KK/HlJ	f	00068d4a75	12	3
KK/HlJ	m	00068CD987	12	3
KK/HlJ	m	00068D00AB	12	3
KK/HlJ	m	00068D0963	12	3
KK/HlJ	m	00068D0CBA	12	3
KK/HlJ	m	00068D1E5F	12	3
KK/HlJ	m	KK M1	12	3
KK/HlJ	m	KK M2	12	3
KK/HlJ	m	KK M3	12	3
KK/HlJ	m	KK M4	12	3
LP/J	f	00068B006F	12	3
LP/J	f	00068B0363	12	3
LP/J	f	00068B094E	12	3
LP/J	f	00068B0E32	12	3
LP/J	f	00068B14F7	12	3
LP/J	f	00068B1AFF	12	3
LP/J	f	00068B1EEB	12	3
LP/J	f	00068cf0d4	12	3
LP/J	m	00068B2AD2	12	1
LP/J	m	00068af5fc	12	3
LP/J	m	00068af905	12	3
LP/J	m	00068afe37	12	3
LP/J	m	00068b00df	12	3
LP/J	m	00068b0661	12	3
LP/J	m	00068b1fc5	12	3
LP/J	m	00068b2984	12	3
MOLF/EiJ	f	0006CA20C8	12	3
MOLF/EiJ	f	0006CA2380	12	3
MOLF/EiJ	f	0006CA2388	12	3
MOLF/EiJ	f	0006CA2E46	12	3
MOLF/EiJ	f	0006CA4289	12	3
MOLF/EiJ	f	0006CA48F8	12	3
MOLF/EiJ	f	0006CA4E81	12	3
MOLF/EiJ	f	0006CA6232	12	3
MOLF/EiJ	f	0006CA7D82	12	3
MOLF/EiJ	m	0006CA22BB	12	3
MOLF/EiJ	m	0006CA427A	12	3
MOLF/EiJ	m	0006CA428C	12	3
MOLF/EiJ	m	0006CA55A1	12	3
MOLF/EiJ	m	0006CA7C66	12	3
MOLF/EiJ	m	0006CA8593	12	3
MRL/MpJ	f	00068af786	12	3
MRL/MpJ	f	00068b15be	12	3
MRL/MpJ	f	00068b1d39	12	3
MRL/MpJ	f	00068b23ff	12	3
MRL/MpJ	f	0009F984	12	3
MRL/MpJ	f	0009FAED	12	3
MRL/MpJ	f	A0EC6	12	3
MRL/MpJ	m	00068CE339	12	3
MRL/MpJ	m	00068CEBC1	12	3
MRL/MpJ	m	00068CF2AD	12	3
MRL/MpJ	m	00068CFA47	12	3
MRL/MpJ	m	00068CFB9E	12	3
MRL/MpJ	m	00068D04BF	12	3
MRL/MpJ	m	00068D09C6	12	3
MRL/MpJ	m	00068D3CB0	12	3
NOD.B10Sn-H2<b>/J	f	000699fadd	12	3
NOD.B10Sn-H2<b>/J	f	000699fd7a	12	3
NOD.B10Sn-H2<b>/J	f	00069a03f0	12	3
NOD.B10Sn-H2<b>/J	f	00069a0d3f	12	3
NOD.B10Sn-H2<b>/J	f	00069a1789	12	3
NOD.B10Sn-H2<b>/J	f	00069a2488	12	3
NOD.B10Sn-H2<b>/J	m	SC-3391	12	3
NOD.B10Sn-H2<b>/J	m	SC-3392	12	3
NOD.B10Sn-H2<b>/J	m	SC-34-4	12	3
NOD.B10Sn-H2<b>/J	m	SC-3403	12	3
NZO/HlLtJ	f	00068af8bf	12	3
NZO/HlLtJ	f	00068b06f5	12	3
NZO/HlLtJ	f	00068b09b6	12	3
NZO/HlLtJ	f	00068b1a43	12	3
NZO/HlLtJ	f	00068b2001	12	3
NZO/HlLtJ	m	NZO M2	12	1
NZO/HlLtJ	m	NZO M4	12	2
NZO/HlLtJ	m	NZO M1	12	3
NZO/HlLtJ	m	NZO M3	12	3
NZO/HlLtJ	m	NZO M5	12	3
NZW/LacJ	f	00068b02bf	12	2
NZW/LacJ	f	00068b14df	12	2
NZW/LacJ	f	00068af715	12	3
NZW/LacJ	f	00068aff83	12	3
NZW/LacJ	f	00068b0481	12	3
NZW/LacJ	f	00068b1092	12	3
NZW/LacJ	f	00068b1c88	12	3
NZW/LacJ	m	00068cd8d9	12	2
NZW/LacJ	m	00068d22f7	12	2
NZW/LacJ	m	00068afc21	12	3
NZW/LacJ	m	00068b190a	12	3
NZW/LacJ	m	00068ce345	12	3
NZW/LacJ	m	00068cf88f	12	3
NZW/LacJ	m	00068d0a5f	12	3
NZW/LacJ	m	00068d1391	12	3
P/J	f	00069a1c2e	12	1
P/J	f	00069a1eb2	12	2
P/J	f	00069a20f8	12	2
P/J	f	00069a2f2a	12	2
P/J	f	00068b015d	12	3
P/J	f	000699f8fe	12	3
P/J	f	000699fb09	12	3
P/J	m	00069a0395	12	3
P/J	m	00069a0769	12	3
P/J	m	00069a12a4	12	3
P/J	m	P M1	12	3
P/J	m	P M2	12	3
PL/J	f	00068b24a1	12	3
PL/J	f	00068cd742	12	3
PL/J	f	CS-PL-F2-01	12	3
PL/J	f	PL-F-10	12	3
PL/J	m	00069a163e	12	3
PL/J	m	00069a1720	12	3
PL/J	m	00069a17af	12	3
PL/J	m	00069a1b64	12	3
PL/J	m	00069a278e	12	3
PL/J	m	PL-M-22	12	3
PWD/PhJ	f	00068afcfb	12	3
PWD/PhJ	f	00068b0566	12	3
PWD/PhJ	f	00068b0af6	12	3
PWD/PhJ	f	00068b0df3	12	3
PWD/PhJ	f	00068b12f3	12	3
PWD/PhJ	f	00068b1b91	12	3
PWD/PhJ	f	00068b1bc7	12	3
PWD/PhJ	f	00068b1dfa	12	3
PWD/PhJ	m	00068AF292	12	2
PWD/PhJ	m	00068b2ae6	12	2
PWD/PhJ	m	00068AF3DA	12	3
PWD/PhJ	m	00068afdc2	12	3
PWD/PhJ	m	00068aff07	12	3
PWD/PhJ	m	00068d3980	12	3
RIIIS/J	f	000699f805	12	3
RIIIS/J	f	A0887	12	3
RIIIS/J	f	RIIISF13B	12	3
RIIIS/J	f	RIIISF13L	12	3
RIIIS/J	f	RIIISF13N	12	3
RIIIS/J	f	RIIISF13R	12	3
RIIIS/J	m	RIIIM203N	12	1
RIIIS/J	m	RII B	12	3
RIIIS/J	m	RII N	12	3
RIIIS/J	m	RIIIM203B	12	3
RIIIS/J	m	RIIISM201B	12	3
RIIIS/J	m	RIIISM201L	12	3
RIIIS/J	m	RIIISM201N	12	3
RIIIS/J	m	RIIISM201R	12	3
RIIIS/J	m	RIIISM201RR	12	3
SJL/J	f	00068AFEBA	12	3
SJL/J	f	00068B0499	12	3
SJL/J	f	00068B10F5	12	3
SJL/J	f	00068B1225	12	3
SJL/J	f	00068B1DA5	12	3
SJL/J	f	00068B208A	12	3
SJL/J	f	00068CDA07	12	3
SJL/J	m	00068d153a	12	3
SJL/J	m	SJLM27B	12	3
SJL/J	m	SJLM27L	12	3
SJL/J	m	leftbsjl	12	3
SJL/J	m	rightnsjl	12	3
SJL/J	m	sm05b	12	3
SJL/J	m	sm06n	12	3
SM/J	f	00068b0464	12	2
SM/J	f	00068b14a6	12	2
SM/J	f	00068b1688	12	3
SM/J	f	00068b1ca2	12	3
SM/J	f	00068b26bd	12	3
SM/J	m	00068B052D	12	1
SM/J	m	00068B1F40	12	1
SM/J	m	00068AF9C5	12	3
SM/J	m	00068AFEFF	12	3
SM/J	m	00068B0774	12	3
SM/J	m	00068B16A1	12	3
SM/J	m	00068B18C8	12	3
SM/J	m	00068B2105	12	3
SWR/J	f	00068AFB8D	12	3
SWR/J	f	00068AFDAE	12	3
SWR/J	f	00068B0225	12	3
SWR/J	f	00068B0411	12	3
SWR/J	f	00068B219E	12	3
SWR/J	f	00068B2618	12	3
SWR/J	f	00068B2BFE	12	3
SWR/J	f	00068B2C25	12	3
SWR/J	m	00068AF9C4	12	3
SWR/J	m	00068B02D4	12	3
SWR/J	m	00068B08FC	12	3
SWR/J	m	00068B1107	12	3
SWR/J	m	00068B19A7	12	3
SWR/J	m	00068B1AFB	12	3
SWR/J	m	00068B1CA4	12	3
WSB/EiJ	f	000689A1B67	12	3
WSB/EiJ	f	000699FCFF	12	3
WSB/EiJ	f	00069A0866	12	3
WSB/EiJ	f	00069A2D04	12	3
WSB/EiJ	f	00069a10cb	12	3
WSB/EiJ	f	00069a1be1	12	3
WSB/EiJ	f	A182C	12	3
WSB/EiJ	m	WSBM03L	12	3
WSB/EiJ	m	WSBM03R	12	3
129S1/SvImJ	f	00068afa62	18	1
129S1/SvImJ	f	00068afed4	18	1
129S1/SvImJ	f	00068b035d	18	1
129S1/SvImJ	f	00068b176e	18	1
129S1/SvImJ	f	00068b105e	18	2
129S1/SvImJ	f	00068b1871	18	2
129S1/SvImJ	f	00068b2098	18	2
129S1/SvImJ	f	00068af597	18	3
129S1/SvImJ	m	00068b072b	18	1
129S1/SvImJ	m	00068b07d5	18	1
129S1/SvImJ	m	00068b0a37	18	1
129S1/SvImJ	m	00068b0f14	18	1
129S1/SvImJ	m	00068b10e0	18	1
129S1/SvImJ	m	00068af2fc	18	2
129S1/SvImJ	m	00068af6c6	18	2
A/J	f	00068af64b	18	1
A/J	f	00068b032f	18	1
A/J	f	00068b2059	18	1
A/J	f	00068b2279	18	1
A/J	f	00068b2591	18	1
A/J	f	00068b0ad0	18	2
A/J	f	00068b10b5	18	2
A/J	f	00068b25b2	18	2
A/J	m	00068b0631	18	1
A/J	m	00068b1a97	18	1
A/J	m	00068ce750	18	1
A/J	m	SC-946	18	1
A/J	m	000699f95a	18	2
A/J	m	00069a047a	18	2
BALB/cByJ	f	00068afd31	18	2
BALB/cByJ	f	00068b18a2	18	2
BALB/cByJ	f	00068af96d	18	3
BALB/cByJ	f	00068afc56	18	3
BALB/cByJ	f	00068afd78	18	3
BALB/cByJ	f	00068b10fd	18	3
BALB/cByJ	f	00068b1c1a	18	3
BALB/cByJ	f	00068b1f43	18	3
BALB/cByJ	m	SBALB092R	18	3
BALB/cByJ	m	SBALB09B	18	3
BALB/cByJ	m	SBALB09L	18	3
BALB/cByJ	m	SBALB09R	18	3
BALB/cByJ	m	SBALB102R	18	3
BALB/cByJ	m	SBALB10B	18	3
BTBR T+ tf/J	f	btbrf16n	18	2
BTBR T+ tf/J	f	btbr16b	18	3
BTBR T+ tf/J	f	btbrf162r	18	3
BTBR T+ tf/J	f	btbrf16l	18	3
BTBR T+ tf/J	f	btbrf16r	18	3
BTBR T+ tf/J	f	btbrf172r	18	3
BTBR T+ tf/J	f	btbrf17b	18	3
BTBR T+ tf/J	f	btbrf17l	18	3
BTBR T+ tf/J	m	00069a1af6	18	3
BTBR T+ tf/J	m	00069a25a6	18	3
BTBR T+ tf/J	m	00069a298b	18	3
BUB/BnJ	f	00068cd85c	18	1
BUB/BnJ	f	00068ce425	18	1
BUB/BnJ	f	00068cf827	18	1
BUB/BnJ	m	00068AF246	18	1
BUB/BnJ	m	00068AF4AE	18	1
BUB/BnJ	m	00068AF767	18	1
BUB/BnJ	m	00068b0187	18	1
BUB/BnJ	m	00068b0d9b	18	1
BUB/BnJ	m	SC-1429	18	1
BUB/BnJ	m	SC-1430	18	1
C3H/HeJ	f	00068b0417	18	1
C3H/HeJ	f	00068b225d	18	2
C3H/HeJ	f	00068af477	18	3
C3H/HeJ	f	00068afada	18	3
C3H/HeJ	f	00068b0843	18	3
C3H/HeJ	f	00068b0c7c	18	3
C3H/HeJ	f	00068b14b1	18	3
C3H/HeJ	f	00068b1eed	18	3
C3H/HeJ	m	00068b0cb9	18	1
C3H/HeJ	m	00068b1521	18	1
C3H/HeJ	m	00068AFAEB	18	2
C3H/HeJ	m	00068B04AC	18	2
C3H/HeJ	m	00068B1B79	18	2
C3H/HeJ	m	00068AFA5C	18	3
C3H/HeJ	m	00068B076E	18	3
C3H/HeJ	m	00068b0593	18	3
C57BL/10J	f	00068AFEB2	18	2
C57BL/10J	f	00068AF8D1	18	3
C57BL/10J	f	00068AF9A3	18	3
C57BL/10J	f	00068B0F47	18	3
C57BL/10J	f	00068B1698	18	3
C57BL/10J	f	00068B1F04	18	3
C57BL/10J	m	00068b062a	18	2
C57BL/10J	m	00068AF117	18	3
C57BL/10J	m	00068B0F3B	18	3
C57BL/10J	m	00068B1583	18	3
C57BL/10J	m	00068b0360	18	3
C57BL/10J	m	00068b2027	18	3
C57BL/10J	m	00068b2120	18	3
C57BL/6J	f	00068afd43	18	3
C57BL/6J	f	00068b05ca	18	3
C57BL/6J	f	00068b0bb4	18	3
C57BL/6J	f	00068b1818	18	3
C57BL/6J	f	00068b2752	18	3
C57BL/6J	f	00068b2797	18	3
C57BL/6J	f	00068cf32a	18	3
C57BL/6J	m	00068B1892	18	1
C57BL/6J	m	00068AFCAF	18	2
C57BL/6J	m	00068AFFBC	18	3
C57BL/6J	m	00068B0729	18	3
C57BL/6J	m	00068B08C8	18	3
C57BL/6J	m	00068B108C	18	3
C57BL/6J	m	00068B11BF	18	3
C57BL/6J	m	00068B14B2	18	3
C57BLKS/J	f	00068cf421	18	1
C57BLKS/J	f	00068cfdab	18	1
C57BLKS/J	f	00069a19bb	18	1
C57BLKS/J	f	00069a238d	18	1
C57BLKS/J	f	00068d3aad	18	2
C57BLKS/J	f	00069a29b5	18	2
C57BLKS/J	f	00068cf88a	18	3
C57BLKS/J	f	000699fcc9	18	3
C57BLKS/J	m	00068b155d	18	1
C57BLKS/J	m	00068b1839	18	1
C57BLKS/J	m	00068b252b	18	1
C57BLKS/J	m	00068b08f2	18	2
C57BLKS/J	m	00068b148a	18	2
C57BLKS/J	m	00068b21fa	18	2
C57BLKS/J	m	00068b1ce0	18	3
C57BLKS/J	m	00068b2580	18	3
C57BR/cdJ	f	00068D190B	18	1
C57BR/cdJ	f	00068D46BB	18	1
C57BR/cdJ	f	00068d09fa	18	1
C57BR/cdJ	f	00068cd417	18	2
C57BR/cdJ	f	00068CDAD3	18	3
C57BR/cdJ	f	00068D05A7	18	3
C57BR/cdJ	f	00068cdbde	18	3
C57BR/cdJ	f	00068ce096	18	3
C57BR/cdJ	m	00068b07a3	18	1
C57BR/cdJ	m	00068b0fed	18	1
C57BR/cdJ	m	00068b1383	18	1
C57BR/cdJ	m	00068b1f06	18	1
C57BR/cdJ	m	00068b2775	18	1
C57BR/cdJ	m	00068b16ca	18	2
C57BR/cdJ	m	00068b1adf	18	2
C57BR/cdJ	m	00068afa8e	18	3
C57L/J	f	00068cddcf	18	1
C57L/J	f	00068c1701	18	3
C57L/J	f	00068cd9e4	18	3
C57L/J	f	00068cdab1	18	3
C57L/J	f	00068cdf36	18	3
C57L/J	f	00068cfea3	18	3
C57L/J	f	00068d0699	18	3
C57L/J	m	00068cd8d0	18	1
C57L/J	m	A0703	18	1
C57L/J	m	A17A6	18	2
C57L/J	m	D0B6E	18	2
C57L/J	m	00068cd81a	18	3
C57L/J	m	00068ce08c	18	3
C57L/J	m	00068cf9f3	18	3
C57L/J	m	00068d07ef	18	3
C57L/J	m	00068d3ef0	18	3
C57L/J	m	0009F5B2	18	3
C57L/J	m	A0019	18	3
C57L/J	m	A12E5	18	3
C57L/J	m	A1673	18	3
C57L/J	m	A21DA	18	3
CAST/EiJ	f	00069a17a3	18	1
CAST/EiJ	f	000699f644	18	3
CAST/EiJ	f	00069a026d	18	3
CAST/EiJ	f	00069a0297	18	3
CAST/EiJ	f	00069a072e	18	3
CAST/EiJ	f	00069a1b86	18	3
CAST/EiJ	f	00069a22ff	18	3
CBA/J	f	CBA L	18	1
CBA/J	f	SC-5075	18	2
CBA/J	f	SC-5074	18	3
CBA/J	f	SC-5076	18	3
CBA/J	f	SC-5078	18	3
CBA/J	f	SC-5079	18	3
CBA/J	f	SC-5080	18	3
CBA/J	m	00068affcc	18	3
CBA/J	m	00068b02cf	18	3
CBA/J	m	00068b17c1	18	3
CBA/J	m	00068b1cfb	18	3
CBA/J	m	00068b29b3	18	3
CBA/J	m	CBA M1	18	3
CBA/J	m	CBA M2	18	3
DBA/2J	f	00068b2303	18	1
DBA/2J	f	00068AF1C8	18	3
DBA/2J	f	00068af7e5	18	3
DBA/2J	f	00068b1862	18	3
DBA/2J	f	00068d07b9	18	3
DBA/2J	f	00068d1da0	18	3
DBA/2J	m	00068ce238	18	3
DBA/2J	m	00068cfb0d	18	3
DBA/2J	m	000699fa1d	18	3
DBA/2J	m	00069a10e8	18	3
DBA/2J	m	00069a15cd	18	3
DBA/2J	m	00069a15f2	18	3
DBA/2J	m	CFD22	18	3
FVB/NJ	f	00068b1396	18	1
FVB/NJ	f	00068b1a8c	18	1
FVB/NJ	f	00068afae6	18	2
FVB/NJ	f	00068afb74	18	3
FVB/NJ	f	00068b0c77	18	3
FVB/NJ	f	00068b1253	18	3
FVB/NJ	f	00068b299d	18	3
FVB/NJ	m	00068b0d90	18	1
FVB/NJ	m	00069a04cb	18	1
FVB/NJ	m	00069a1458	18	1
FVB/NJ	m	00069a295d	18	3
KK/HlJ	f	00068af334	18	1
KK/HlJ	f	00068b00ed	18	1
KK/HlJ	f	00068b07f0	18	1
KK/HlJ	f	00068b08e1	18	1
KK/HlJ	f	00068b0c94	18	1
KK/HlJ	f	00068b1097	18	2
KK/HlJ	f	00068afe4a	18	3
KK/HlJ	f	00068b1cc1	18	3
KK/HlJ	m	00068b1bcc	18	1
KK/HlJ	m	00068af52b	18	3
KK/HlJ	m	00068b00c0	18	3
KK/HlJ	m	00068b02e1	18	3
KK/HlJ	m	00068b10ab	18	3
KK/HlJ	m	00068b16de	18	3
KK/HlJ	m	00068b17cc	18	3
LP/J	f	000699f86f	18	3
LP/J	f	000699fbf6	18	3
LP/J	f	00069a01c6	18	3
LP/J	f	00069a0411	18	3
LP/J	f	00069a0d06	18	3
LP/J	f	lpf9l	18	3
LP/J	f	lpf9n	18	3
LP/J	f	lpf9r	18	3
LP/J	m	00068afae1	18	3
LP/J	m	00068b06bd	18	3
LP/J	m	00068b0b4d	18	3
LP/J	m	00068b0e5b	18	3
LP/J	m	00068b148b	18	3
LP/J	m	00068b18f7	18	3
LP/J	m	00068b1b1e	18	3
LP/J	m	00068b2adf	18	3
MRL/MpJ	f	00068CE907	18	1
MRL/MpJ	f	00068CD7FF	18	3
MRL/MpJ	f	00068CDBE2	18	3
MRL/MpJ	f	00068CE2DC	18	3
MRL/MpJ	f	00068CF9B0	18	3
MRL/MpJ	f	00068D0794	18	3
MRL/MpJ	f	00068D19DA	18	3
MRL/MpJ	m	00068b1e19	18	1
MRL/MpJ	m	00068afb99	18	2
MRL/MpJ	m	00068af174	18	3
MRL/MpJ	m	00068af982	18	3
MRL/MpJ	m	00068b123a	18	3
MRL/MpJ	m	00068b17fc	18	3
MRL/MpJ	m	00068b262c	18	3
MRL/MpJ	m	00068b27a2	18	3
NOD.B10Sn-H2<b>/J	f	SNODF01B	18	3
NOD.B10Sn-H2<b>/J	f	SNODF01L	18	3
NOD.B10Sn-H2<b>/J	f	SNODF01R	18	3
NOD.B10Sn-H2<b>/J	f	SNODF01RR	18	3
NOD.B10Sn-H2<b>/J	f	SNODF02B	18	3
NOD.B10Sn-H2<b>/J	m	00069a0b8f	18	3
NOD.B10Sn-H2<b>/J	m	00069a0e15	18	3
NOD.B10Sn-H2<b>/J	m	00069a0fef	18	3
NOD.B10Sn-H2<b>/J	m	00069a1c5b	18	3
NOD.B10Sn-H2<b>/J	m	CSNODMO4B	18	3
NOD.B10Sn-H2<b>/J	m	CSNODMO4L	18	3
NZO/HlLtJ	f	00069a2c88	18	2
NZO/HlLtJ	f	00068afe33	18	3
NZO/HlLtJ	f	00068b0662	18	3
NZO/HlLtJ	f	00068b1467	18	3
NZO/HlLtJ	f	00069a1c32	18	3
NZO/HlLtJ	f	00069a26d6	18	3
NZO/HlLtJ	m	00068d4c05	18	1
NZO/HlLtJ	m	nzom8n	18	2
NZW/LacJ	f	00068af9d4	18	2
NZW/LacJ	f	00068b0e98	18	2
NZW/LacJ	f	00068b2945	18	2
NZW/LacJ	f	00068af84c	18	3
NZW/LacJ	f	00068b0626	18	3
NZW/LacJ	f	00068b0f4e	18	3
NZW/LacJ	f	00068b1597	18	3
NZW/LacJ	f	00068b2402	18	3
NZW/LacJ	m	00068b0ae3	18	2
NZW/LacJ	m	00068b11ca	18	2
NZW/LacJ	m	00068b15e3	18	2
NZW/LacJ	m	00068af1a1	18	3
NZW/LacJ	m	00068affbb	18	3
NZW/LacJ	m	00068b2099	18	3
P/J	f	00068b015d	18	1
P/J	f	00068cdd62	18	2
P/J	f	00068D35D8	18	3
P/J	f	00068d05c1	18	3
P/J	f	00068d3080	18	3
P/J	f	00068d3343	18	3
P/J	m	00068cfaca	18	2
PL/J	f	00068d0388	18	3
PL/J	m	00068cd749	18	1
PL/J	m	00069a163e	18	2
PL/J	m	00069a17af	18	2
PL/J	m	00068cdb63	18	3
PL/J	m	000699fe25	18	3
PL/J	m	00069a1720	18	3
PL/J	m	00069a1b64	18	3
PL/J	m	00069a28e7	18	3
PWD/PhJ	f	00068cdedb	18	2
PWD/PhJ	f	00068ce75f	18	3
PWD/PhJ	f	00068ceab4	18	3
PWD/PhJ	f	00068cf054	18	3
PWD/PhJ	f	00068cfc09	18	3
PWD/PhJ	f	00068d0217	18	3
PWD/PhJ	m	PWD B	18	2
PWD/PhJ	m	00068af2c2	18	3
PWD/PhJ	m	00068b0821	18	3
PWD/PhJ	m	00068b104a	18	3
PWD/PhJ	m	00068b2664	18	3
PWD/PhJ	m	00068b2c19	18	3
PWD/PhJ	m	PWD L	18	3
RIIIS/J	f	RII F1	18	1
RIIIS/J	f	RII F2	18	1
RIIIS/J	f	RII F3	18	1
RIIIS/J	f	RII F4	18	1
RIIIS/J	f	RII F5	18	3
RIIIS/J	f	RII F6	18	3
RIIIS/J	f	RII F7	18	3
RIIIS/J	m	RII B	18	2
RIIIS/J	m	RII L	18	3
RIIIS/J	m	RII N	18	3
RIIIS/J	m	RII R	18	3
SJL/J	f	00068afa64	18	3
SJL/J	f	00068b0d3c	18	3
SJL/J	f	00068b0db0	18	3
SJL/J	f	00068b1ae6	18	3
SM/J	f	00068af5a1	18	2
SM/J	f	00068b1a77	18	2
SM/J	f	00068b2299	18	3
SM/J	f	00068b24a7	18	3
SM/J	f	00068b25e5	18	3
SM/J	f	00068cf22f	18	3
SM/J	m	00068cd755	18	1
SM/J	m	00068cd711	18	2
SM/J	m	00068ce37e	18	2
SM/J	m	00068cfef1	18	2
SM/J	m	00068d396e	18	2
SM/J	m	00068AF9C5	18	3
SM/J	m	00068cdae0	18	3
SM/J	m	00068ce862	18	3
SM/J	m	00068d31de	18	3
SWR/J	f	00068B0F40	18	2
SWR/J	f	00068B0C93	18	3
SWR/J	f	00068B1236	18	3
SWR/J	f	00068B1C6A	18	3
SWR/J	m	00068B197A	18	3
SWR/J	m	00068af238	18	3
SWR/J	m	00068af9b3	18	3
SWR/J	m	00068b192c	18	3
SWR/J	m	00068b1f59	18	3
SWR/J	m	SWR M1	18	3
SWR/J	m	SWR M2	18	3
WSB/EiJ	f	000699FFC5	18	3
WSB/EiJ	f	00069A16F6	18	3
WSB/EiJ	f	00069A2C95	18	3
WSB/EiJ	f	00069A2DDD	18	3
WSB/EiJ	f	WSB F1	18	3
WSB/EiJ	f	WSB F2	18	3
WSB/EiJ	f	WSB F3	18	3
WSB/EiJ	f	WSB F4	18	3
WSB/EiJ	m	00069A18D6	18	3
WSB/EiJ	m	00069A2656	18	3
WSB/EiJ	m	00069A2BDF	18	3
WSB/EiJ	m	00069A2E55	18	3
