strain	sex	animal_id	age	gait_score
MRL/MpJ	m	m12l	6	3
MRL/MpJ	m	m12r	6	3
NOD.B10Sn-H2<b>/J	f	0009F9C7	6	3
NOD.B10Sn-H2<b>/J	f	0009FCD0	6	3
NOD.B10Sn-H2<b>/J	f	0009FF42	6	3
NOD.B10Sn-H2<b>/J	f	A1449	6	3
NOD.B10Sn-H2<b>/J	f	A1E58	6	3
NOD.B10Sn-H2<b>/J	f	A1F92	6	3
NOD.B10Sn-H2<b>/J	f	A2299	6	3
NOD.B10Sn-H2<b>/J	f	AZE0E	6	3
NOD.B10Sn-H2<b>/J	m	A0392	6	3
NOD.B10Sn-H2<b>/J	m	A0751	6	3
NOD.B10Sn-H2<b>/J	m	A0E49	6	3
NOD.B10Sn-H2<b>/J	m	A10FC	6	3
NOD.B10Sn-H2<b>/J	m	A1CC4	6	3
NOD.B10Sn-H2<b>/J	m	A22BA	6	3
NOD.B10Sn-H2<b>/J	m	A27DB	6	3
NOD.B10Sn-H2<b>/J	m	A2A31	6	3
NOD.B10Sn-H2<b>/J	m	A2DAE	6	3
NOD.B10Sn-H2<b>/J	m	CSNODM206B	6	3
NOD.B10Sn-H2<b>/J	m	CSNODM206L	6	3
NOD.B10Sn-H2<b>/J	m	CSNODM206N	6	3
NOD.B10Sn-H2<b>/J	m	CSNODM206R	6	3
NOD.B10Sn-H2<b>/J	m	CSNODM206RR	6	3
NOD.B10Sn-H2<b>/J	m	NODM15L	6	3
NOD.B10Sn-H2<b>/J	m	NODM15R	6	3
NZO/HlLtJ	f	00068AF8BF	6	3
NZO/HlLtJ	f	00068AFF42	6	3
NZO/HlLtJ	f	00068B06F5	6	3
NZO/HlLtJ	f	00068B09B6	6	3
NZO/HlLtJ	f	00068B1A43	6	3
NZO/HlLtJ	f	00068B2001	6	3
NZO/HlLtJ	f	00068B26C4	6	3
NZO/HlLtJ	m	00068AFEDA	6	3
NZO/HlLtJ	m	00068B071E	6	3
NZO/HlLtJ	m	00068B09C2	6	3
NZO/HlLtJ	m	00068B10CF	6	3
NZO/HlLtJ	m	00068B2653	6	3
NZO/HlLtJ	m	00068B2799	6	3
NZO/HlLtJ	m	00068B2B93	6	3
NZO/HlLtJ	m	00068B2B94	6	3
NZW/LacJ	f	00068B0481	6	2
NZW/LacJ	f	00068AF715	6	3
NZW/LacJ	f	00068AFF83	6	3
NZW/LacJ	f	00068B02BF	6	3
NZW/LacJ	f	00068B1092	6	3
NZW/LacJ	f	00068B1247	6	3
NZW/LacJ	f	00068B14DF	6	3
NZW/LacJ	f	00068B1C88	6	3
NZW/LacJ	m	00068cd8d9	6	1
NZW/LacJ	m	00068afc21	6	3
NZW/LacJ	m	00068b190a	6	3
NZW/LacJ	m	00068ce345	6	3
NZW/LacJ	m	00068cf88f	6	3
NZW/LacJ	m	00068d0a5f	6	3
NZW/LacJ	m	00068d1391	6	3
NZW/LacJ	m	00068d22f7	6	3
P/J	f	00068b015d	6	3
P/J	m	00069a0395	6	3
P/J	m	00069a0769	6	3
P/J	m	00069a12a4	6	3
P/J	m	00069a1904	6	3
P/J	m	00069a2033	6	3
PL/J	f	00068b013c	6	3
PL/J	f	00068b0842	6	3
PL/J	f	00068b0b05	6	3
PL/J	f	00068b10e4	6	3
PL/J	f	00068b1513	6	3
PL/J	f	00068b24a1	6	3
PL/J	f	00068b26c9	6	3
PL/J	m	00068af99e	6	3
PL/J	m	00068afa9d	6	3
PL/J	m	00068b07a7	6	3
PL/J	m	00068b0cb1	6	3
PL/J	m	00068b0f08	6	3
PL/J	m	00068b1b20	6	3
PL/J	m	00068b1b22	6	3
PL/J	m	00068b26c2	6	3
PWD/PhJ	f	00068AFCFB	6	3
PWD/PhJ	f	00068B0566	6	3
PWD/PhJ	f	00068B0AF6	6	3
PWD/PhJ	f	00068B0DF3	6	3
PWD/PhJ	f	00068B12F3	6	3
PWD/PhJ	f	00068B1B91	6	3
PWD/PhJ	f	00068B1BC7	6	3
PWD/PhJ	f	00068B1DFA	6	3
PWD/PhJ	m	00068AF292	6	3
PWD/PhJ	m	00068AF3DA	6	3
PWD/PhJ	m	00068AFDC2	6	3
PWD/PhJ	m	00068AFF07	6	3
PWD/PhJ	m	00068B0F5B	6	3
PWD/PhJ	m	00068B251B	6	3
PWD/PhJ	m	00068B2905	6	3
PWD/PhJ	m	00068B2AE6	6	3
RIIIS/J	f	00068AF43E	6	3
RIIIS/J	f	00068B01B2	6	3
RIIIS/J	f	00068B0244	6	3
RIIIS/J	f	00068B0E6E	6	3
RIIIS/J	f	00068B148C	6	3
RIIIS/J	f	00068B21AF	6	3
RIIIS/J	f	00068B237A	6	3
RIIIS/J	f	00068B262F	6	3
RIIIS/J	m	00068AF818	6	3
RIIIS/J	m	00068AFE70	6	3
RIIIS/J	m	00068B094B	6	3
RIIIS/J	m	00068B136D	6	3
RIIIS/J	m	00068B146C	6	3
RIIIS/J	m	00068B188A	6	3
RIIIS/J	m	00068B1AB3	6	3
RIIIS/J	m	00068B1EAB	6	3
SJL/J	f	00068AF09D	6	3
SJL/J	f	00068AFEBA	6	3
SJL/J	f	00068B0499	6	3
SJL/J	f	00068B0D78	6	3
SJL/J	f	00068B1225	6	3
SJL/J	f	00068B208A	6	3
SJL/J	f	00068BL0F5	6	3
SJL/J	f	00068BLDA5	6	3
SJL/J	m	SJLM39B	6	3
SJL/J	m	SJLM39L	6	3
SJL/J	m	SJLM39R	6	3
SM/J	f	00068B2710	6	1
SM/J	f	00068AF7DF	6	3
SM/J	f	00068B0464	6	3
SM/J	f	00068B1028	6	3
SM/J	f	00068B14A6	6	3
SM/J	f	00068B1688	6	3
SM/J	f	00068B1CA2	6	3
SM/J	f	00068B26BD	6	3
SM/J	m	00068B1F40	6	2
SM/J	m	00068AF9C5	6	3
SM/J	m	00068AFEFF	6	3
SM/J	m	00068B052D	6	3
SM/J	m	00068B0774	6	3
SM/J	m	00068B16A1	6	3
SM/J	m	00068B18C8	6	3
SM/J	m	00068B2105	6	3
SWR/J	f	00068AFB8D	6	3
SWR/J	f	00068AFDAE	6	3
SWR/J	f	00068B0225	6	3
SWR/J	f	00068B0411	6	3
SWR/J	f	00068B219E	6	3
SWR/J	f	00068B2618	6	3
SWR/J	f	00068B2BFE	6	3
SWR/J	f	00068B2C25	6	3
SWR/J	m	00068B1F1D	6	2
SWR/J	m	00068AF9C4	6	3
SWR/J	m	00068B02D4	6	3
SWR/J	m	00068B08FC	6	3
SWR/J	m	00068B1107	6	3
SWR/J	m	00068B19A7	6	3
SWR/J	m	00068B1AFB	6	3
SWR/J	m	00068B1CA4	6	3
WSB/EiJ	f	WSB F10	6	3
WSB/EiJ	f	WSB F5	6	3
WSB/EiJ	f	WSB F6	6	3
WSB/EiJ	f	WSB F7	6	3
WSB/EiJ	f	WSB F8	6	3
WSB/EiJ	f	WSB F9	6	3
129S1/SvImJ	f	00068B0443	12	1
129S1/SvImJ	f	00068B0CE6	12	2
129S1/SvImJ	f	00068AF6D7	12	3
129S1/SvImJ	f	00068AFC4F	12	3
129S1/SvImJ	f	00068B1641	12	3
