strain	sex	animal_id	age	HR	PR	QRS	QT	RR	ST
LP/J	m	SC-7221	6	852	28.3	10.5	38.9	70.4	28.9
LP/J	m	SC-7222	6	809	16.8	9.9	41.5	74.2	32
LP/J	m	SC-7072	6	793	28.5	10.8	41.5	75.6	31.2
LP/J	m	SC-7073	6	715	29	11.1	44	84	33.4
LP/J	m	SC-7074	6	749	30.1	10.2	42.1	80.1	32.4
LP/J	m	SC-7075	6	707	30.4	10.6	45.2	84.9	35
LP/J	m	SC-7076	6	793	30.2	10.9	40.7	75.6	30.3
LP/J	m	SC-3090	12	665	31.3	11.9	46.8	90.6	35.5
LP/J	m	SC-3087	12	736	30	11.2	45.7	81.5	34.9
LP/J	m	SC-3091	12	759	28.9	10.7	41.8	79.1	31.6
LP/J	m	SC-3092	12	685	33.8	11.8	45.3	87.6	33.9
LP/J	m	SC-3093	12	777	26.4	12	41.1	77.2	29.6
LP/J	m	SC-3094	12	768	30.3	11.3	42	78.1	31.2
LP/J	m	SC-3095	12	777	28.8	11.7	42.9	77.3	31.7
LP/J	m	SC-3096	12	752	28.5	10.9	43.6	79.8	33.2
LP/J	m	SC-3188	20	753	29	11.1	44.4	79.7	33.8
LP/J	m	SC-3189	20	789	28.9	10.5	41.8	76.1	31.8
LP/J	m	SC-3190	20	752	28.1	11.1	42.9	79.7	32.3
LP/J	m	SC-3191	20	752	30.5	11.3	43.7	79.8	32.9
LP/J	m	SC-3192	20	740	23.7	11.7	42.6	81.1	31.4
LP/J	m	SC-3193	20	740	30.5	11.9	45.3	81.1	33.9
LP/J	m	SC-3194	20	790	16.4	9.1	39.6	76	31
LP/J	m	SC-3195	20	832	26.7	9.2	38.5	72.1	29.7
LP/J	m	SC-3196	20	779	31	11.5	44	77	33
MRL/MpJ	f	SC-7039	6	684	32.5	10.5	46.5	89.5	36.6
MRL/MpJ	f	SC-7040	6	740	32.6	10.9	44	81.1	33.6
MRL/MpJ	f	SC-7041	6	749	32.4	10.3	39.9	80.1	30.1
MRL/MpJ	f	SC-7042	6	729	33.1	11.6	42.7	82.4	31.5
MRL/MpJ	f	SC-7043	6	704	30.8	11.6	49.1	85.2	38
MRL/MpJ	f	SC-7044	6	752	30.8	10.7	43.6	79.8	33.4
MRL/MpJ	f	SC-3206	12	687	29.7	10.7	45.1	87.8	34.9
MRL/MpJ	f	SC-3207	12	692	35.2	11	50.8	86.7	40.3
MRL/MpJ	f	SC-3208	12	710	31.8	11.1	47.6	84.6	37
MRL/MpJ	f	SC-3209	12	729	24.6	10.2	42.6	82.3	32.9
MRL/MpJ	f	SC-3210	12	667	31.3	11.1	45.1	90.5	34.5
MRL/MpJ	f	SC-3212	12	718	22.3	10.9	44.8	83.9	34.4
MRL/MpJ	f	SC-3213	12	709	21.1	13.8	41.4	84.6	28.1
MRL/MpJ	f	SC-3322	20	713	28.3	10.4	43.9	84.1	34
MRL/MpJ	f	SC-3323	20	675	28.6	11.4	48.5	89	37.6
MRL/MpJ	f	SC-3324	20	715	21.2	11.9	43.9	83.9	32.5
MRL/MpJ	m	SC-7185	6	754	25.7	10.9	40.9	79.9	30.5
MRL/MpJ	m	SC-7186	6	777	23.1	10.7	40.8	77.6	30.6
MRL/MpJ	m	SC-7187	6	773	30.9	9.6	38.5	77.6	29.4
MRL/MpJ	m	SC-7188	6	776	29.8	10.4	43.3	77.3	33.4
MRL/MpJ	m	SC-7189	6	705	34	11.1	43.3	85.1	32.7
MRL/MpJ	m	SC-7190	6	756	18.2	11.7	38	79.3	26.8
MRL/MpJ	m	SC-7191	6	780	31.1	10.3	38.8	76.9	29
MRL/MpJ	m	SC-7192	6	736	32.6	11.3	39.4	81.5	28.6
MRL/MpJ	m	SC-3238	12	653	20.2	11.4	43	91.9	32
MRL/MpJ	m	SC-3239	12	727	33.1	10.2	43.7	82.5	34
MRL/MpJ	m	SC-3240	12	737	19.7	11.7	43	81.4	31.8
MRL/MpJ	m	SC-3241	12	646	22.7	12.5	49.3	92.9	37.3
MRL/MpJ	m	SC-3242	12	815	19	11.5	34.4	73.6	23.4
MRL/MpJ	m	SC-3245	12	724	27.3	11.4	39.9	82.8	29.1
MRL/MpJ	m	SC-3330	20	613	29.3	11.5	51.7	98.4	40.7
MRL/MpJ	m	SC-3331	20	748	23.9	11.8	48.3	89.2	36.9
MRL/MpJ	m	SC-3332	20	685	15.8	15.5	43.9	87.7	28.9
MRL/MpJ	m	SC-3333	20	739	19	11.8	39.1	81.2	27.8
NOD.B10Sn-H2<b>/J	f	SC-7427	6	813	28.8	10.3	40.9	73.8	31.1
NOD.B10Sn-H2<b>/J	f	SC-7428	6	761	29.9	11.1	40.8	78.9	30.2
NOD.B10Sn-H2<b>/J	f	SC-7429	6	772	30.8	11.4	39.6	77.7	28.7
NOD.B10Sn-H2<b>/J	f	SC-7430	6	851	19.8	8.9	37	70.5	28.6
NOD.B10Sn-H2<b>/J	f	SC-8021	6	790	28.3	11.2	44.1	76	33.4
NOD.B10Sn-H2<b>/J	f	SC-8022	6	820	29.7	10.8	37.7	73.2	27.4
NOD.B10Sn-H2<b>/J	f	SC-3346	12	756	31.3	11.1	41.6	79.4	30.9
NOD.B10Sn-H2<b>/J	f	SC-3347	12	809	30	10.3	42.9	74.2	33.2
NOD.B10Sn-H2<b>/J	f	SC-3351	12	792	29.3	9.9	39.9	75.8	30.5
NOD.B10Sn-H2<b>/J	f	SC-3352	12	761	32	10.5	38.6	78.8	28.6
NOD.B10Sn-H2<b>/J	f	SC-3353	12	784	31.1	11.1	42.2	76.6	31.7
NOD.B10Sn-H2<b>/J	f	SC-3354	12	741	28.1	11	44.3	80.9	33.9
NOD.B10Sn-H2<b>/J	f	SC-3358	12	737	29.3	10	45.7	81.5	36.1
NOD.B10Sn-H2<b>/J	f	SC-3359	12	806	30	11	39.5	74.4	29
NOD.B10Sn-H2<b>/J	f	SC-3360	12	775	29.4	10.4	40.6	77.5	30.7
NOD.B10Sn-H2<b>/J	f	SC-3361	12	788	30.6	10	39.6	76.2	30.1
NOD.B10Sn-H2<b>/J	f	SC-5613	20	792	28.8	10.2	38.8	75.7	29.1
NOD.B10Sn-H2<b>/J	f	SC-5614	20	757	30.3	11.2	38	79.3	27.3
NOD.B10Sn-H2<b>/J	f	SC-6867	20	788	30.5	10.3	39.6	76.1	29.8
NOD.B10Sn-H2<b>/J	f	SC-7245	20	761	31	10.3	41.1	78.9	31.3
NOD.B10Sn-H2<b>/J	f	SC-7246	20	781	31.1	10.7	38.9	76.8	28.7
NOD.B10Sn-H2<b>/J	f	SC-5626	20	765	24.3	11.5	41.8	78.4	30.8
NOD.B10Sn-H2<b>/J	f	SC-5627	20	784	29.2	10.3	43.5	76.6	33.7
NOD.B10Sn-H2<b>/J	f	SC-5628	20	764	28.3	11.3	40.8	78.6	30
NOD.B10Sn-H2<b>/J	m	SC-7431	6	773	26.8	11.6	44.2	77.6	33.1
NOD.B10Sn-H2<b>/J	m	SC-8024	6	793	26	9.9	39.1	75.7	29.7
NOD.B10Sn-H2<b>/J	m	SC-8025	6	816	28.2	9.8	41	73.5	31.7
NOD.B10Sn-H2<b>/J	m	SC-8026	6	758	30	9.9	43.1	79.2	33.7
NOD.B10Sn-H2<b>/J	m	SC-3362	12	828	29.4	9.6	39.7	72.5	30.7
NOD.B10Sn-H2<b>/J	m	SC-3363	12	744	31.4	10.7	44.6	80.7	34.4
NOD.B10Sn-H2<b>/J	m	SC-3364	12	784	27.8	9.9	41.1	76.6	31.7
NOD.B10Sn-H2<b>/J	m	SC-3365	12	752	28.9	10.7	39.1	79.8	28.9
NOD.B10Sn-H2<b>/J	m	SC-3366	12	806	29.5	11.7	38.9	74.5	27.7
NOD.B10Sn-H2<b>/J	m	SC-3367	12	758	29.9	11.1	44.2	79.2	33.6
NOD.B10Sn-H2<b>/J	m	SC-3368	12	784	30.1	10.2	38.4	76.5	28.7
NOD.B10Sn-H2<b>/J	m	SC-3369	12	818	29.7	9.4	40.8	73.3	31.9
NOD.B10Sn-H2<b>/J	m	SC-7790	20	736	27.3	11.3	42.2	81.6	31.4
NOD.B10Sn-H2<b>/J	m	SC-7791	20	801	30.5	10.6	39.8	74.9	29.6
NOD.B10Sn-H2<b>/J	m	SC-7792	20	803	29.1	9.4	40.3	74.7	31.4
NOD.B10Sn-H2<b>/J	m	SC-6439	20	786	30.9	11.9	39.9	76.3	28.4
NOD.B10Sn-H2<b>/J	m	SC-6440	20	778	31.5	12.3	42.5	77.1	30.6
NOD.B10Sn-H2<b>/J	m	SC-6441	20	737	32.9	12.1	47.4	81.4	35.9
NOD.B10Sn-H2<b>/J	m	SC-6444	20	792	30.8	10.8	38.3	75.8	28
NOD.B10Sn-H2<b>/J	m	SC-6445	20	736	19.1	9.6	45	81.5	35.9
NON/ShiLtJ	f	SC-7279	6	686	14.9	9	46.9	87.5	38.4
NON/ShiLtJ	f	SC-7280	6	707	25.7	11.2	45.1	84.9	34.4
NON/ShiLtJ	f	SC-7281	6	722	18.8	8.3	40.8	83.2	33
NON/ShiLtJ	f	SC-7282	6	746	24.3	10.3	44.1	80.5	34.3
NON/ShiLtJ	f	SC-7283	6	725	21.1	9	43.7	82.8	35.2
NON/ShiLtJ	f	SC-7284	6	703	23.9	11.3	44.1	85.4	33.3
NON/ShiLtJ	f	SC-7285	6	725	28	10.5	43.1	82.7	33.2
NON/ShiLtJ	f	SC-7286	6	701	28.7	11.2	47.6	85.6	36.9
NON/ShiLtJ	f	SC-3456	12	753	32.3	12.3	41.9	79.7	30.1
NON/ShiLtJ	f	SC-3457	12	683	27.8	11.5	44.8	87.8	33.8
NON/ShiLtJ	f	SC-3458	12	682	25.8	10.9	47.8	88.1	37.4
NON/ShiLtJ	f	SC-3459	12	677	28	11.6	47.7	90	36.6
NON/ShiLtJ	f	SC-3467	12	693	26.8	11.5	47	86.6	36
NON/ShiLtJ	f	SC-3468	12	685	34.7	14	45.5	87.6	32
NON/ShiLtJ	f	SC-3466	12	711	28.5	11.1	40.9	84.4	30.4
NON/ShiLtJ	f	SC-3591	20	694	31.5	11.5	42.8	86.4	31.7
NON/ShiLtJ	f	SC-3593	20	683	33	12.2	48.3	88.3	36.6
NON/ShiLtJ	f	SC-3594	20	709	28	11.6	43.1	84.8	32
NON/ShiLtJ	f	SC-3595	20	697	25.2	11.1	49.4	86.1	38.8
NON/ShiLtJ	f	SC-3596	20	726	29.5	11.3	44.8	82.6	34
NON/ShiLtJ	f	SC-3597	20	710	33.3	12.4	40.8	84.5	28.9
NON/ShiLtJ	f	SC-3598	20	684	28.6	11.7	50.6	87.7	39.4
NON/ShiLtJ	m	SC-7576	6	711	30.8	11.9	44.9	84.9	33.5
NON/ShiLtJ	m	SC-7577	6	680	25.6	11.5	43.9	88.2	32.9
NON/ShiLtJ	m	SC-7578	6	730	20.4	9.5	38.8	82.2	29.8
NON/ShiLtJ	m	SC-7579	6	755	18.3	9.6	31.7	79.5	22.7
NON/ShiLtJ	m	SC-7580	6	718	32.8	12.1	41.2	83.8	29.6
NON/ShiLtJ	m	SC-8395	6	673	31.2	15.1	49.2	89.2	34.6
NON/ShiLtJ	m	SC-8396	6	719	16.3	8.6	44.4	83.4	36.4
NON/ShiLtJ	m	SC-8397	6	672	30	11.9	49.7	91.4	38.3
NON/ShiLtJ	m	SC-3450	12	677	31	12	45.1	88.7	33.6
NON/ShiLtJ	m	SC-3451	12	710	31	12.7	46.7	84.9	34.5
NON/ShiLtJ	m	SC-3452	12	714	28.6	10.7	49.3	84.1	39.1
NON/ShiLtJ	m	SC-3453	12	670	24.2	12.8	53	90.5	40.7
NON/ShiLtJ	m	SC-3454	12	742	29.5	10.8	41.7	80.8	31.4
NON/ShiLtJ	m	SC-3445	12	648	36.6	14.4	51.6	92.6	37.6
NON/ShiLtJ	m	SC-3446	12	693	28.1	11.1	47.8	86.6	37.2
NON/ShiLtJ	m	SC-3447	12	675	35.2	15.1	50.2	88.8	35.6
NON/ShiLtJ	m	SC-3566	20	647	32.5	11.5	47	92.8	36
NON/ShiLtJ	m	SC-3567	20	683	31.5	11.8	47.9	87.9	36.6
NON/ShiLtJ	m	SC-3568	20	712	28.6	10.8	48.8	84.3	38.5
NON/ShiLtJ	m	SC-3569	20	668	25.8	11.9	47.7	89.8	36.3
NON/ShiLtJ	m	SC-3605	20	736	31.5	10.3	45.3	81.5	35.5
NON/ShiLtJ	m	SC-3606	20	701	27.8	11.2	43.8	85.6	33.1
NON/ShiLtJ	m	SC-3516	20	650	33.9	11.8	47.5	92.3	36.2
NZO/HlLtJ	f	SC-7342	6	748	31.9	11.5	44.4	80.2	33.3
NZO/HlLtJ	f	SC-7343	6	772	30.6	11.2	40.4	77.8	29.6
NZO/HlLtJ	f	SC-7344	6	754	31.3	11.2	41	79.7	30.3
NZO/HlLtJ	f	SC-7345	6	753	32.3	13.5	45.3	79.7	32.3
NZO/HlLtJ	f	SC-7346	6	704	34.5	10.9	43.5	85.2	33.1
NZO/HlLtJ	f	SC-7347	6	645	34	12.8	48.7	93	36.4
NZO/HlLtJ	f	SC-7348	6	749	31.5	12.3	43.1	80.1	31.3
NZO/HlLtJ	f	SC-7463	6	768	31.1	11.9	45	78.2	33.6
NZO/HlLtJ	f	SC-3619	12	707	31.6	11.3	41.5	84.8	30.8
NZO/HlLtJ	f	SC-3620	12	724	29.6	12.1	43.7	82.9	32.1
NZO/HlLtJ	f	SC-3621	12	707	32.9	10.5	40.7	84.8	30.7
NZO/HlLtJ	f	SC-3622	12	731	32.5	12.1	42.2	82	30.5
NZO/HlLtJ	f	SC-3663	12	734	30.7	13.4	44.3	81.8	31.4
NZO/HlLtJ	f	SC-3664	12	743	28.4	11.6	42.9	80.8	31.7
NZO/HlLtJ	f	SC-3665	12	626	23.3	13.1	54.5	95.9	41.8
NZO/HlLtJ	f	SC-3666	12	650	36.1	13.1	49.4	92.3	36.8
NZO/HlLtJ	f	SC-3644	12	780	30.3	11.3	39.9	76.9	29.1
NZO/HlLtJ	f	SC-3709	20	756	32.1	12.2	42.1	79.4	30.4
NZO/HlLtJ	f	SC-3710	20	628	22.6	11.2	50.5	95.6	39.8
NZO/HlLtJ	f	SC-3691	20	755	31.2	10.7	39.5	79.4	29.3
NZO/HlLtJ	f	SC-3692	20	763	30.9	13.6	42.6	78.6	29.5
NZO/HlLtJ	f	SC-3693	20	784	31.1	12.9	43.3	76.5	31
NZO/HlLtJ	f	SC-3694	20	688	33.8	15	46.3	87.2	31.8
NZO/HlLtJ	m	SC-7349	6	741	31.3	12.7	43	81	30.9
NZO/HlLtJ	m	SC-7350	6	741	32.8	12	47.7	81	36.2
NZO/HlLtJ	m	SC-7351	6	762	27.4	11.1	44.2	78.7	33.6
NZO/HlLtJ	m	SC-7352	6	781	27.8	11.9	40	76.8	28.6
NZO/HlLtJ	m	SC-7353	6	744	31.2	12.3	46.1	80.6	34.3
NZO/HlLtJ	m	SC-7354	6	761	30.6	11.3	44.1	78.9	33.2
NZO/HlLtJ	m	SC-7355	6	797	30.1	10.4	39.3	75.3	29.4
NZO/HlLtJ	m	SC-3624	12	621	31.2	14	52.5	96.8	39
NZO/HlLtJ	m	SC-3625	12	668	34.7	13.4	46.9	89.8	34
NZO/HlLtJ	m	SC-3641	12	696	32.2	12.6	46.3	86.3	34.1
NZO/HlLtJ	m	SC-3651	12	737	31.5	11	41.3	81.5	30.8
NZO/HlLtJ	m	SC-3652	12	698	29.9	13.7	48.5	85.9	35.2
NZO/HlLtJ	m	SC-3711	20	775	29.5	11.1	40.6	77.4	30
NZO/HlLtJ	m	SC-3712	20	721	30.5	12.1	44.6	83.2	32.9
NZO/HlLtJ	m	SC-3679	20	739	30.5	12.3	40.6	81.2	28.8
NZO/HlLtJ	m	SC-3680	20	704	32.9	12.3	45.4	85.2	33.6
NZO/HlLtJ	m	SC-3681	20	708	31.5	12	44.1	84.8	32.5
NZW/LacJ	f	SC-6900	6	647	32.5	12.6	49.3	92.8	37.2
NZW/LacJ	f	SC-6901	6	692	33.2	11.7	41.4	86.8	30.1
NZW/LacJ	f	SC-6902	6	646	29	9.5	48.7	92.9	39.7
NZW/LacJ	f	SC-6903	6	563	28.6	10.9	59.4	107	49
NZW/LacJ	f	SC-6904	6	751	30.7	11.3	37.5	79.9	26.7
NZW/LacJ	f	SC-6905	6	674	34.5	11.7	46.2	89	35
NZW/LacJ	f	SC-6906	6	731	33.3	10.9	43	82.1	32.6
NZW/LacJ	f	SC-6907	6	796	30.6	10.2	39	75.4	29.4
NZW/LacJ	f	SC-3780	12	677	35.1	13.4	47.6	88.6	34.7
NZW/LacJ	f	SC-3781	12	679	34.8	12.5	49.2	88.5	37.2
NZW/LacJ	f	SC-3782	12	709	33.5	11.1	43.8	84.7	33.2
NZW/LacJ	f	SC-3783	12	757	32.2	11.4	42.9	79.2	32
NZW/LacJ	f	SC-3784	12	736	31.8	10.9	40.1	81.6	29.7
NZW/LacJ	f	SC-3785	12	568	36.1	15.9	47.8	106	32.4
NZW/LacJ	f	SC-3786	12	683	32.5	11.7	43.9	87.8	32.8
NZW/LacJ	f	SC-3787	12	737	33.1	11.2	38.4	81.5	27.7
NZW/LacJ	f	SC-3868	20	750	32.5	11.7	43.8	80	32.5
NZW/LacJ	f	SC-3869	20	735	33.2	13.3	43.5	81.7	30.6
NZW/LacJ	f	SC-3870	20	723	26.2	11.6	45.3	83	34.1
NZW/LacJ	f	SC-3871	20	648	36.3	12.2	46.3	92.8	34.6
NZW/LacJ	f	SC-3874	20	803	21.3	10.7	38.3	75.3	28
NZW/LacJ	f	SC-3875	20	688	35.4	11.7	42.8	87.2	31.6
NZW/LacJ	f	SC-3876	20	750	32.5	11.2	41.5	80	30.8
NZW/LacJ	f	SC-3877	20	773	31.5	11.7	43.4	77.6	32.1
NZW/LacJ	m	SC-6890	6	563	30.8	13.8	52.5	107	39.2
NZW/LacJ	m	SC-6891	6	759	32.1	12.1	43.3	79.1	31.7
NZW/LacJ	m	SC-6892	6	750	31.6	11	40	80	29.5
NZW/LacJ	m	SC-6893	6	650	34.3	12.4	46.8	92.5	34.8
NZW/LacJ	m	SC-6894	6	707	32.6	11.2	43.9	85.1	33.2
NZW/LacJ	m	SC-6895	6	775	31.3	11	43.8	77.5	33.3
NZW/LacJ	m	SC-6896	6	762	18.8	8.4	43.1	78.7	35.2
NZW/LacJ	m	SC-3730	12	655	36.2	13.1	45.8	91.9	33.2
NZW/LacJ	m	SC-3731	12	589	33	13.7	51.5	102	38.3
NZW/LacJ	m	SC-3732	12	711	32.4	11.4	45.6	84.4	34.7
NZW/LacJ	m	SC-3733	12	693	27.4	8.8	41.7	86.6	33.5
NZW/LacJ	m	SC-3735	12	660	33	12.1	43.2	91.1	31.7
NZW/LacJ	m	SC-3736	12	654	36.4	9.4	42.9	91.8	34
NZW/LacJ	m	SC-3737	12	686	33.8	12.9	48.9	87.5	36.5
NZW/LacJ	m	SC-3878	20	695	24.8	12.3	44.5	86.3	32.8
NZW/LacJ	m	SC-3879	20	754	25.4	12.5	43.5	79.6	31.5
NZW/LacJ	m	SC-3880	20	787	18.3	12	40.3	76.2	28.9
NZW/LacJ	m	SC-3881	20	647	35.4	14.2	48.9	92.7	35.2
NZW/LacJ	m	SC-3882	20	664	36.5	12.8	49.2	90.3	36.9
NZW/LacJ	m	SC-3883	20	737	20.2	10.8	42.9	81.8	32.5
NZW/LacJ	m	SC-3884	20	556	37.6	15	46.4	108	31.9
NZW/LacJ	m	SC-3885	20	769	17.5	12.4	43.1	78	31.2
P/J	f	SC-7714	6	764	18.5	11	42	78.6	31.5
P/J	f	SC-7715	6	757	20.6	9.4	42.1	79.3	33.2
P/J	f	SC-7716	6	768	18.3	9.6	42.4	78.1	33.3
P/J	f	SC-7722	6	747	18.8	10.8	42.3	80.3	32
P/J	f	SC-7723	6	720	25.2	9.5	39	83.3	30
P/J	f	SC-4004	20	570	28.2	10.7	53.9	105	43.7
P/J	f	SC-4005	20	676	25	9.6	49.2	88.8	40
P/J	f	SC-4006	20	671	18	11.1	46.3	89.5	35.7
P/J	f	SC-3984	20	714	24.3	11.2	38.5	84.1	27.8
P/J	f	SC-3985	20	721	23.9	9.6	39.4	83.3	30.3
P/J	f	SC-3989	20	699	19.8	10	45	85.9	35.5
P/J	f	SC-3990	20	714	31.6	10.2	42.1	84.7	32.4
P/J	f	SC-3991	20	683	20.3	10.4	45.7	87.9	35.8
P/J	m	SC-7711	6	744	20.5	10.5	43.4	80.7	33.4
P/J	m	SC-7712	6	772	21.6	13.4	44.1	82.6	31.3
P/J	m	SC-7713	6	772	17.1	11.8	44	77.8	32.7
P/J	m	SC-7720	6	797	16.8	10.8	42.4	75.3	32.1
P/J	m	SC-7724	6	779	17.4	10	43.1	77	33.6
P/J	m	SC-7725	6	754	20.6	9.4	44.2	79.6	35.3
P/J	m	SC-7728	6	769	19.8	10.4	42	78.1	32.1
P/J	m	SC-3920	12	760	20.9	11.1	43.8	78.9	33.2
P/J	m	SC-3921	12	754	20	10.6	43.6	81	33.5
P/J	m	SC-3916	12	761	20.2	10.2	38.4	78.8	28.7
P/J	m	SC-3912	12	684	26.2	12.4	48.3	87.8	36.4
P/J	m	SC-3914	12	769	18.5	12.3	43.5	78.1	31.6
P/J	m	SC-3915	12	700	21.1	9	46.8	85.7	38.3
P/J	m	SC-4007	20	637	25.8	11.1	51.9	100	41.3
P/J	m	SC-3971	20	682	19.9	11	48.6	88	38.1
P/J	m	SC-3993	20	701	24	10.1	47.9	85.5	38.3
P/J	m	SC-3994	20	715	22.6	10.5	39.9	83.9	29.8
P/J	m	SC-3995	20	741	19.7	10.6	44.9	80.9	34.8
P/J	m	SC-3996	20	731	20.3	11	45.4	82.1	34.9
PL/J	f	SC-6925	6	743	20.4	12.6	41.8	80.8	29.7
PL/J	f	SC-6926	6	788	24.5	11.6	41	76.9	29.9
PL/J	f	SC-6927	6	764	30.7	12.5	41.2	78.5	29.2
PL/J	f	SC-6930	6	717	30	12.3	42.5	83.7	30.8
PL/J	f	SC-6931	6	688	31.1	12.2	41	87.3	29.3
PL/J	f	SC-6932	6	785	22.5	10.6	44.2	85	34.1
PL/J	f	SC-6933	6	695	34.2	11.1	44.9	86.5	34.3
PL/J	f	SC-6935	6	762	30.5	11	44.4	78.7	33.9
PL/J	f	SC-6936	6	720	32	10.7	42.5	83.8	32.4
PL/J	f	SC-6937	6	773	29.5	13.1	39	77.6	26.4
PL/J	f	00069a02de	12	687	20.6	10.9	37.6	87.3	27.2
PL/J	f	00069a1544	12	673	26.1	13.5	45.2	90.9	32.2
PL/J	f	00069a1daf	12	767	22.5	13.1	43.2	78.3	30.5
PL/J	f	00069a1f3f	12	684	33.4	12.8	42.5	87.7	30.2
PL/J	f	SC-4041	12	667	23.7	11.9	42.1	90	30.6
PL/J	f	SC-4034	12	753	28.9	11.3	40.8	80.1	30
PL/J	f	SC-4035	12	716	33.6	12.1	43.2	83.8	31.7
PL/J	f	SC-4036	12	669	35.3	13	45.6	89.8	33.1
PL/J	f	SC-4079	20	721	26.9	11.4	43.6	83.2	32.7
PL/J	f	SC-4080	20	778	17.3	10.9	43	77.1	32.6
PL/J	f	SC-4081	20	758	30.1	12.2	39	79.2	27.3
PL/J	f	SC-4082	20	743	22	13.3	44	80.8	31.2
PL/J	f	SC-4068	20	731	31.7	10.7	43.5	82.1	33.3
PL/J	m	SC-6920	6	717	28.2	11.5	42.1	83.7	31.1
PL/J	m	SC-6921	6	696	34.3	12.2	44.9	86.3	33.1
PL/J	m	SC-6922	6	741	31.9	11.9	41.6	80.9	30.3
PL/J	m	SC-6923	6	780	30.9	8.7	37.2	76.9	29.1
PL/J	m	SC-6924	6	776	28.7	10.4	41.3	77.5	31.4
PL/J	m	SC-4044	12	684	32.5	12.5	45	87.7	33
PL/J	m	SC-4045	12	742	32.6	12.7	45	80.8	32.8
PL/J	m	SC-4046	12	693	35	11.9	46.9	86.5	35.5
PL/J	m	SC-4050	12	749	32.3	12.4	44.2	80.2	32.2
PL/J	m	SC-4051	12	678	35.9	12.4	42.7	88.5	30.8
PL/J	m	SC-4054	12	704	24.2	12.4	41.2	85.2	29.3
PL/J	m	SC-4055	12	743	29	12	42.9	80.8	31.4
PL/J	m	SC-4072	20	748	32.6	12.7	42.8	80.2	30.6
PL/J	m	SC-4078	20	759	20.2	10.5	44.3	81.6	34.3
PWD/PhJ	f	SC-4199	20	793	19.7	14.2	44.2	78.9	30.5
PWD/PhJ	f	SC-4200	20	749	19.3	14.4	41.2	80.1	27.3
PWD/PhJ	f	SC-4201	20	799	16.3	14.5	33.6	75.1	19.6
PWD/PhJ	f	SC-4202	20	751	22.3	14.6	34.3	79.9	20.2
PWD/PhJ	f	SC-4203	20	781	19	12.8	38	76.8	25.7
PWD/PhJ	f	SC-4204	20	818	19.4	14.4	35.5	73.4	21.5
PWD/PhJ	f	SC-4205	20	817	16.3	14	37.8	73.4	24.3
PWD/PhJ	f	SC-4206	20	804	19.2	14.5	44.7	74.6	30.7
PWD/PhJ	m	SC-4207	20	737	22.5	8.2	44.2	81.5	36.4
PWD/PhJ	m	SC-4208	20	815	17.5	14.5	44.5	73.7	30.5
PWD/PhJ	m	SC-4209	20	794	12	14.3	45.2	75.6	31.4
PWD/PhJ	m	SC-4211	20	762	18.6	15	46.6	78.8	32.1
PWD/PhJ	m	SC-4212	20	773	22.1	11.3	33.3	77.6	22.6
PWD/PhJ	m	SC-4213	20	804	15.8	14.5	44.9	74.6	30.9
PWD/PhJ	m	SC-4214	20	774	18.8	14.2	45.2	77.6	31.5
RIIIS/J	f	SC-8027	6	529	37.7	13.2	58.7	119	46
RIIIS/J	f	SC-8028	6	654	33.6	10.8	48.5	91.8	38.2
RIIIS/J	f	SC-7329	6	583	31	10.5	53.6	104	43.6
RIIIS/J	f	SC-7330	6	598	27.6	9.3	50.3	101	41.5
RIIIS/J	f	SC-7331	6	777	27.8	11.2	44.6	77.3	33.9
RIIIS/J	f	SC-7332	6	774	25	10.2	43	77.5	33.3
RIIIS/J	f	SC-7333	6	676	27.6	11.2	48.3	88.9	37.6
RIIIS/J	f	SC-7339	6	782	20.3	7.4	41.7	76.7	34.9
RIIIS/J	f	SC-4230	12	626	27.4	12.1	51.2	96	39.6
RIIIS/J	f	SC-4231	12	711	24.9	9.2	41.8	84.4	33.1
RIIIS/J	f	SC-4232	12	768	27.3	10.6	45.1	78.2	35.1
RIIIS/J	f	SC-4233	12	645	28.5	12	54.5	93.1	43
RIIIS/J	f	SC-4218	12	670	31.5	8.5	42.7	89.9	34.6
RIIIS/J	f	SC-4219	12	547	29.8	13.9	52.3	110	38.9
RIIIS/J	f	SC-4220	12	632	28.6	12.6	53	95.1	41
RIIIS/J	f	SC-4348	20	595	25.2	9.7	41	101	31.9
RIIIS/J	f	SC-4349	20	728	27.4	10.4	45.3	82.4	35.4
RIIIS/J	f	SC-4350	20	743	29	10.8	44.4	80.7	34.1
RIIIS/J	f	SC-4351	20	560	29.4	12.4	52.3	107	40.4
RIIIS/J	f	SC-4352	20	697	27.4	10.8	42	86.1	31.7
RIIIS/J	f	SC-4353	20	567	33.5	12.1	53.1	106	41.5
RIIIS/J	f	SC-4354	20	688	33.3	11.1	41.9	87.3	31.3
RIIIS/J	f	SC-4355	20	600	37.1	11.5	48.7	100	37.6
RIIIS/J	m	SC-8031	6	656	37.1	12.1	42.6	91.4	31
RIIIS/J	m	SC-8032	6	750	22.9	11	47.2	80	36.7
RIIIS/J	m	SC-7335	6	567	29	10.3	52.6	106	42.8
RIIIS/J	m	SC-7336	6	611	27	8.7	48.6	98.3	40.5
RIIIS/J	m	SC-7337	6	686	28.1	10	47.9	87.5	38.4
RIIIS/J	m	SC-7338	6	634	32.4	8.5	51.3	94.8	43.3
