strain	sex	animal_id	age	body_weight_g	IGF1_ng-mL
A/J	m	000699f95a	18	27.3	330
BALB/cByJ	f	00068AF96D	18	27.3	372
A/J	f	00068B2059	12	27.4	307
A/J	f	00068B2591	12	27.4	308
A/J	m	00068b1e9c	12	27.4	413
FVB/NJ	f	00068AFAE6	12	27.4	280
KK/HlJ	f	00068D0875	12	27.4	319
LP/J	m	00068B0B4D	12	27.4	323
C57L/J	f	00068CDF36	18	27.4	401
C3H/HeJ	f	00068B2917	6	27.5	424
C57BLKS/J	m	00068B155D	6	27.5	262
C57BLKS/J	m	00068B21FA	6	27.5	275
129S1/SvImJ	f	00068B035D	12	27.5	264
FVB/NJ	m	00069A295D	12	27.5	296
MRL/MpJ	m	00068AFB99	18	27.5	264
SM/J	m	00068AF9C5	18	27.5	191
C57BR/cdJ	f	00069a04ac	6	27.6	354
SJL/J	m	000699fa67	12	27.6	278
129S1/SvImJ	f	00068B105E	18	27.6	387
A/J	f	00068B25B2	6	27.7	351
C3H/HeJ	f	00068B225D	6	27.7	365
BALB/cByJ	f	00068AFD78	18	27.7	371
C57L/J	f	00068D27B5	6	27.8	380
NOD.B10Sn-H2<b>/J	f	000699ff36	6	27.8	471
PL/J	m	00069a0e6f	6	27.8	300
C57BLKS/J	m	00068B2580	12	27.8	244
DBA/2J	f	00068AFB73	12	27.8	270
DBA/2J	f	00068D1DA0	12	27.8	283
LP/J	m	00068B148B	12	27.8	304
KK/HlJ	m	00068B1BCC	18	27.8	227
MRL/MpJ	m	00068B17FC	18	27.8	223
SM/J	m	00068ce37e	18	27.8	260
SWR/J	m	00068B1F59	18	27.8	270
A/J	f	00068B0AD0	6	27.9	303
BALB/cByJ	f	00068B1C1A	6	27.9	358
C57BL/10J	f	00068B22E9	6	27.9	203
BALB/cByJ	f	00068B10FD	12	27.9	350
LP/J	m	00068B18F7	12	27.9	348
BUB/BnJ	f	SC-1421	18	27.9	261
C3H/HeJ	m	00068AFAEB	18	27.9	321
C57BL/6J	f	00068B05CA	18	27.9	278
DBA/2J	f	00068AF1C8	18	27.9	198
SWR/J	m	00068AF238	18	27.9	320
FVB/NJ	f	00068B1A8C	6	28	300
129S1/SvImJ	m	00068AF2FC	12	28	280
C3H/HeJ	m	00068B0CB9	12	28	267
LP/J	m	00068AFAE1	12	28	
BUB/BnJ	f	00069a2652	18	28	394
LP/J	m	00068B0B4D	18	28	341
SM/J	m	00068cd711	18	28	201
A/J	m	00068b116a	6	28.1	277
C57BL/10J	m	00068B0F3B	6	28.1	233
FVB/NJ	m	00069A17BC	6	28.1	306
NOD.B10Sn-H2<b>/J	f	00069a24fc	6	28.1	473
SWR/J	m	00068B2365	6	28.1	318
129S1/SvImJ	f	00068B105E	12	28.1	314
SWR/J	m	00068B1F59	12	28.1	261
C3H/HeJ	m	00068B0CB9	18	28.1	358
LP/J	m	00068B148B	18	28.1	339
SM/J	m	00068cd755	18	28.1	224
BALB/cByJ	m	00068B0B59	6	28.2	317
C3H/HeJ	m	00068B04AC	6	28.2	309
PWD/PhJ	m	00068CD9A0	6	28.2	401
LP/J	m	00068B06BD	12	28.2	336
C3H/HeJ	m	00068B04AC	18	28.2	302
C57BLKS/J	m	00068B2580	18	28.2	229
C57L/J	f	00068CFEA3	18	28.2	356
MRL/MpJ	m	00068AF174	18	28.2	287
A/J	f	00068B10B5	6	28.3	342
A/J	f	00068B2059	6	28.3	352
A/J	m	00068b0258	6	28.3	295
RIIIS/J	m	00068B1920	6	28.3	272
BALB/cByJ	m	00068B0FA8	12	28.3	371
PWD/PhJ	m	00068CF39B	12	28.3	301
SWR/J	m	00068AF238	12	28.3	338
129S1/SvImJ	m	00068AF2FC	18	28.3	295
C57BL/6J	f	00068CF32A	18	28.3	261
LP/J	m	00068B148B	6	28.4	341
NON/ShiLtJ	m	00068B1697	6	28.4	316
SJL/J	m	SC-415	6	28.4	286
BALB/cByJ	m	00068B0B59	12	28.4	351
PWD/PhJ	m	00068D089F	12	28.4	332
129S1/SvImJ	m	00068B0A37	18	28.4	317
LP/J	m	00068B06BD	18	28.4	357
SM/J	m	00068d31de	18	28.4	241
BALB/cByJ	m	00068B1663	6	28.5	315
C57BL/10J	f	00068B1F04	6	28.5	272
C57BLKS/J	m	00068B148A	6	28.5	261
C57BLKS/J	m	00068B2580	6	28.5	304
CBA/J	f	00068B22E4	6	28.5	299
NZW/LacJ	f	00068AF84C	6	28.5	371
129S1/SvImJ	m	00068B125B	12	28.5	302
BUB/BnJ	m	00068AF4AE	12	28.5	278
C57BR/cdJ	m	00068B2775	12	28.5	430
CBA/J	f	00068B22E4	12	28.5	339
CBA/J	f	00068B257A	12	28.5	354
FVB/NJ	f	00068B1253	12	28.5	302
FVB/NJ	m	00069A17BC	12	28.5	336
WSB/EiJ	m	00069a2656	12	28.5	255
A/J	m	00068B0631	18	28.5	322
RIIIS/J	f	00068CFDA6	18	28.5	266
RIIIS/J	m	00068B16A8	18	28.5	254
SM/J	f	00068AF5A1	18	28.5	288
NOD.B10Sn-H2<b>/J	f	00069a1441	6	28.6	414
FVB/NJ	f	00068B1A8C	12	28.6	
PL/J	m	00068CFACA	12	28.6	294
C57BR/cdJ	f	00068CDAD3	18	28.6	350
129S1/SvImJ	m	00068B10E0	6	28.7	279
C57BL/10J	f	00068AF188	6	28.7	230
C57BLKS/J	m	00068B21FA	12	28.7	314
C57BL/10J	f	00068B0F47	6	28.8	292
C57BL/6J	f	00069A10A0	6	28.8	230
BUB/BnJ	f	00068CD85C	12	28.8	297
C57BL/6J	f	00068AFD43	12	28.8	277
PWD/PhJ	f	00068cf1e2	12	28.8	323
SM/J	f	00068B25E5	12	28.8	252
C57BR/cdJ	f	00068D46BB	18	28.8	371
DBA/2J	m	00069a10e8	18	28.8	266
SM/J	f	00068B25E5	18	28.8	209
A/J	m	00068af9d0	6	28.9	289
LP/J	m	00068B0B4D	6	28.9	369
C57BR/cdJ	f	00068B03E0	12	28.9	344
C57L/J	f	00068CD5E6	12	28.9	384
DBA/2J	f	00068D07B9	12	28.9	311
SM/J	m	00068cfef1	12	28.9	218
NON/ShiLtJ	f	00068B06AE	18	28.9	304
129S1/SvImJ	m	00068B07D5	6	29	294
129S1/SvImJ	m	00068B125B	6	29	261
NOD.B10Sn-H2<b>/J	f	00069a30ef	6	29	489
BUB/BnJ	f	00068CF827	12	29	317
129S1/SvImJ	m	SC-718	18	29	317
BUB/BnJ	f	SC-1422	18	29	325
LP/J	m	00068B1B1E	18	29	366
129S1/SvImJ	m	00068AF2FC	6	29.1	403
A/J	f	00068B032F	12	29.1	330
C57BL/6J	m	00068B14B2	12	29.1	265
C57BLKS/J	m	00068B252B	12	29.1	280
SJL/J	f	00068B1841	12	29.1	258
SJL/J	m	00068B1658	12	29.1	268
C57BLKS/J	m	00068B21FA	18	29.1	291
LP/J	m	00068B18F7	18	29.1	351
A/J	m	00069a047a	18	29.2	347
C57BLKS/J	m	00068B252B	18	29.2	252
SWR/J	m	00068B197A	18	29.2	325
C57BL/10J	m	00068B1583	6	29.3	227
DBA/2J	f	00068B0E90	6	29.3	268
DBA/2J	m	00068AF8BB	6	29.3	290
LP/J	m	00068B1B1E	12	29.3	359
CBA/J	m	00069a16a9	18	29.3	302
BALB/cByJ	m	00068AF3B4	6	29.4	360
C57BL/10J	f	00068AFCD5	6	29.4	277
C3H/HeJ	m	00068B076E	12	29.4	306
C57BR/cdJ	f	00068AF8B7	12	29.4	362
RIIIS/J	m	00068B16A8	12	29.4	247
C57L/J	f	00068D0699	18	29.4	309
CBA/J	f	SC-5082	18	29.4	257
DBA/2J	m	000699FA1D	18	29.4	194
BALB/cByJ	m	00068B09C1	6	29.5	345
BALB/cByJ	m	00068B0FA8	6	29.5	343
FVB/NJ	m	00069A050D	6	29.5	299
LP/J	m	00068AFAE1	6	29.5	359
PL/J	m	SC-3957	6	29.5	305
129S1/SvImJ	m	00068B07D5	12	29.5	350
BALB/cByJ	m	00068AF3B4	12	29.5	323
PWD/PhJ	m	00068CFA8B	12	29.5	324
C57BL/6J	f	00068B2797	18	29.5	298
SWR/J	m	00068B192C	18	29.5	334
C57BR/cdJ	f	000699fef3	6	29.6	371
PL/J	m	SC-3954	6	29.6	286
C57BL/6J	m	00068AFCAF	12	29.6	250
PL/J	m	00068CDF3C	12	29.6	262
RIIIS/J	m	00068B1C99	12	29.7	323
SWR/J	m	00068AF1EB	12	29.7	355
CBA/J	m	00068AFFCC	18	29.7	288
RIIIS/J	m	00068B1C99	18	29.7	300
DBA/2J	f	00068B2778	6	29.8	292
RIIIS/J	m	00068B1C99	6	29.8	283
SWR/J	m	00068B192C	6	29.8	367
A/J	f	00068B25B2	12	29.8	315
A/J	m	00068af9d0	12	29.8	332
C57BL/10J	m	00068B062A	12	29.8	248
SWR/J	f	00068AF599	12	29.8	411
C3H/HeJ	m	00068AFA5C	18	29.8	317
C57BL/6J	m	00068B14B2	18	29.8	232
SM/J	m	00068ce862	18	29.8	255
BUB/BnJ	f	00068CD85C	6	29.9	404
LP/J	m	00068B06BD	6	29.9	394
BALB/cByJ	m	00068B0ED7	12	29.9	345
PWD/PhJ	m	00068CD9A0	12	29.9	334
129S1/SvImJ	m	00068B07D5	18	29.9	350
BUB/BnJ	m	00068AF767	18	29.9	354
BUB/BnJ	m	00069a201b	18	29.9	318
C57BR/cdJ	f	00068D190B	18	29.9	355
SM/J	m	00068D2A67	6	30	219
PWD/PhJ	f	00068CF054	12	30	524
129S1/SvImJ	f	00068B035D	18	30	322
NON/ShiLtJ	f	00068B01C6	18	30	362
C57BL/6J	m	00068AFCAF	6	30.1	209
SM/J	m	00068CFA36	6	30.1	236
SWR/J	m	00068B2365	12	30.1	332
129S1/SvImJ	m	00068B10E0	18	30.1	331
LP/J	m	00068AFAE1	18	30.1	413
C57BL/10J	m	00068AF117	6	30.2	261
129S1/SvImJ	m	00068B072B	12	30.2	298
C57BR/cdJ	f	00068CDBDE	18	30.2	344
SWR/J	m	00068AF1EB	6	30.3	400
SWR/J	m	00068B197A	6	30.3	379
129S1/SvImJ	m	00068B10E0	12	30.3	289
C3H/HeJ	m	00068B04AC	12	30.3	243
BTBR T+ tf/J	m	00068B175E	18	30.3	344
C57BL/6J	m	00068B1892	18	30.3	271
C57L/J	f	00068CD9E4	18	30.3	343
SM/J	f	00068CF22F	18	30.3	249
P/J	m	SC-8618	6	30.4	263
RIIIS/J	m	00068B1B58	6	30.4	255
C3H/HeJ	m	00068AFA5C	12	30.4	313
FVB/NJ	f	00068B0C1B	12	30.4	353
129S1/SvImJ	f	00068AFA62	18	30.4	337
C3H/HeJ	f	00068B14B1	18	30.4	398
C57BL/6J	m	00068AFCAF	18	30.4	283
DBA/2J	m	00069A15F2	18	30.4	291
C57BLKS/J	m	00068B1CE0	6	30.5	284
C57BR/cdJ	m	00069a1a5a	6	30.5	344
FVB/NJ	f	00068AFB74	12	30.5	293
C3H/HeJ	m	00068B0593	18	30.5	356
C57BL/10J	m	00068B062A	18	30.5	274
129S1/SvImJ	m	00068B072B	6	30.6	406
AKR/J	m	00068B06CD	6	30.6	234
C57BL/6J	m	00068B108C	6	30.6	261
NOD.B10Sn-H2<b>/J	f	00069a2145	6	30.6	596
CBA/J	f	00068B0728	12	30.6	269
MRL/MpJ	f	00068D0794	12	30.6	236
RIIIS/J	m	00068B1A4D	12	30.6	242
C57BLKS/J	m	00068B155D	18	30.6	287
CBA/J	f	SC-5086	18	30.6	263
FVB/NJ	f	00068B1A8C	18	30.6	244
DBA/2J	m	00068B1EF5	6	30.7	289
NOD.B10Sn-H2<b>/J	f	00069a1dac	6	30.7	473
A/J	m	00068b116a	12	30.7	368
C57BLKS/J	m	00068B148A	12	30.7	301
C57L/J	m	00068D3EF0	18	30.7	283
MRL/MpJ	f	00068CDBE2	18	30.7	222
RIIIS/J	m	00068B1B58	18	30.7	311
FVB/NJ	m	00069A04CB	6	30.8	311
RIIIS/J	m	00068AFBB8	6	30.8	262
SM/J	m	00068CF8C7	6	30.8	208
BALB/cByJ	f	00068B1C1A	12	30.8	409
NON/ShiLtJ	m	00068B1267	12	30.8	319
RIIIS/J	m	00068B1A4D	18	30.8	281
C57BL/6J	m	00068B14B2	6	30.9	258
A/J	m	00068b1514	12	30.9	399
SM/J	m	00068cd755	12	30.9	213
SM/J	m	00068ce862	12	30.9	257
C57BL/6J	m	00068B108C	12	31	266
FVB/NJ	f	00068B299D	12	31	295
NZW/LacJ	f	00068AF84C	12	31	272
129S1/SvImJ	m	00068CE6BB	18	31	293
A/J	f	00068B10B5	18	31	329
C3H/HeJ	m	00068B1B79	18	31	324
C57BL/10J	m	00068B1583	18	31	277
C57BL/6J	m	00068AFFBC	12	31.1	247
C57BL/6J	m	00068B11BF	12	31.1	280
C57BR/cdJ	f	00068B0EA4	12	31.1	400
DBA/2J	m	00068B1EF5	12	31.1	246
NZW/LacJ	m	00068B11CA	12	31.1	288
CBA/J	m	00068B02CF	18	31.1	327
A/J	m	00068b1514	6	31.2	310
A/J	m	00068af758	12	31.2	387
BTBR T+ tf/J	f	00068B0026	12	31.2	410
BUB/BnJ	m	00068AF767	12	31.2	321
C3H/HeJ	m	00068AFAEB	12	31.2	285
KK/HlJ	m	00068B02E1	12	31.2	228
SM/J	m	00068d31de	12	31.2	230
BALB/cByJ	f	00068B1C1A	18	31.2	423
C57L/J	m	00068CD8D0	18	31.2	286
KK/HlJ	m	00068B00C0	18	31.2	317
C3H/HeJ	m	00068B076E	6	31.3	328
DBA/2J	m	00068B0BE3	12	31.3	275
NON/ShiLtJ	f	00068B0EF6	12	31.3	403
129S1/SvImJ	m	00068B072B	18	31.3	317
129S1/SvImJ	m	00068B0F14	18	31.3	316
CBA/J	m	00068B29B3	18	31.3	325
FVB/NJ	f	00068B1253	18	31.3	314
129S1/SvImJ	m	00068B0F14	6	31.4	304
C57BL/10J	m	00068AFDFF	12	31.4	239
C57L/J	f	00068CEADC	12	31.4	370
FVB/NJ	f	00068AFB74	18	31.4	331
NZW/LacJ	m	00068B11CA	6	31.5	334
C3H/HeJ	m	00068AFC84	12	31.5	294
C57BL/6J	m	00068AFFBC	18	31.5	290
C57BL/6J	m	00068B11BF	6	31.6	244
DBA/2J	m	00068AF64A	6	31.6	327
KK/HlJ	f	00068D042E	6	31.6	449
NOD.B10Sn-H2<b>/J	m	SC-3362	6	31.6	385
C57BLKS/J	m	00068B155D	12	31.6	305
C57BR/cdJ	m	00068AFA8E	12	31.6	352
SM/J	m	00068cd711	12	31.6	234
RIIIS/J	m	00068B2B56	18	31.6	266
NZW/LacJ	f	00068B0626	6	31.7	390
BALB/cByJ	f	00068B18A2	18	31.7	379
BUB/BnJ	m	00068AF246	18	31.7	343
FVB/NJ	m	00069A1458	6	31.8	320
FVB/NJ	m	00069A1EA7	6	31.8	324
A/J	m	00068b0258	12	31.8	399
C57L/J	m	00068CD81A	18	31.8	278
NON/ShiLtJ	m	00068B1267	6	31.9	338
P/J	m	00069a2033	6	31.9	331
SWR/J	m	00068B197A	12	31.9	356
NON/ShiLtJ	m	00068B1A9F	18	31.9	328
A/J	m	00068af758	6	32	289
C3H/HeJ	m	00068B0CB9	6	32	339
C57L/J	m	00068D3EF0	6	32	309
NZW/LacJ	m	00068AF1A1	6	32	340
SM/J	m	00068CEAA6	6	32	226
NZO/HlLtJ	m	00069a209a	12	32	296
NZW/LacJ	m	00068AF1A1	12	32	243
RIIIS/J	m	00068AFBB8	12	32	276
BUB/BnJ	m	SC-5920	18	32	370
C57BL/10J	m	00068B1583	12	32.1	246
P/J	m	00069a0395	6	32.2	336
C3H/HeJ	m	00068B0593	12	32.2	316
FVB/NJ	m	00069A1EA7	12	32.2	338
NON/ShiLtJ	f	00068B12A5	12	32.2	381
C57BL/6J	m	00068AFFBC	6	32.3	267
DBA/2J	f	00068B1E95	6	32.3	274
FVB/NJ	f	00068AFAE6	6	32.3	311
SM/J	m	00068CE9A3	6	32.3	240
BUB/BnJ	m	00068B0D9B	18	32.3	380
129S1/SvImJ	m	00068B0A37	6	32.4	296
NON/ShiLtJ	f	00068B0EF6	6	32.4	341
RIIIS/J	m	00068B1B58	12	32.4	325
SWR/J	m	00068B192C	12	32.4	347
129S1/SvImJ	m	SC-719	18	32.4	307
C57BL/6J	m	00068B11BF	18	32.4	275
C3H/HeJ	m	00068AFA5C	6	32.5	333
SM/J	m	SC-437	6	32.5	202
FVB/NJ	m	00069A04CB	12	32.5	333
C57BLKS/J	m	00068B148A	18	32.5	284
NON/ShiLtJ	f	00068B0681	18	32.5	388
NON/ShiLtJ	f	00068B12A5	18	32.5	346
BTBR T+ tf/J	m	00068AF643	12	32.6	270
DBA/2J	f	00068AFD71	12	32.6	289
C57BL/6J	m	00068B08C8	18	32.6	279
C57BR/cdJ	m	00068B16CA	18	32.6	322
C57L/J	f	00068CDAB1	18	32.6	282
RIIIS/J	m	00068B1920	18	32.6	323
BUB/BnJ	m	00068B0187	12	32.7	374
MRL/MpJ	m	00068AFB99	12	32.7	300
C57BL/6J	m	00068B108C	18	32.7	269
FVB/NJ	m	SC-273	6	32.8	348
NOD.B10Sn-H2<b>/J	m	SC-3369	6	32.8	370
C57BL/6J	m	00068B0729	12	32.8	251
C57L/J	m	00068D3EF0	12	32.8	279
DBA/2J	f	00068B047E	12	32.8	276
C57BLKS/J	m	00068B1CE0	18	32.8	275
NON/ShiLtJ	f	00068B0681	6	32.9	422
C3H/HeJ	f	00068B14B1	6	33	439
129S1/SvImJ	m	00068B0F14	12	33	325
C57BL/10J	m	00068B0360	12	33	253
P/J	m	00069a1904	6	33.1	326
C57L/J	f	00068E41FC	12	33.1	434
C57BL/10J	m	00068B0360	18	33.1	310
KK/HlJ	m	00068B10AB	18	33.1	335
NOD.B10Sn-H2<b>/J	m	00069a048f	18	33.1	321
C57L/J	m	00068CF9F3	6	33.2	289
BALB/cByJ	m	00068AFC53	12	33.2	392
C57BR/cdJ	f	00068CD417	18	33.2	291
AKR/J	f	SC-113	6	33.3	382
BTBR T+ tf/J	f	00068AFF44	6	33.3	540
KK/HlJ	f	00068D0875	6	33.3	443
KK/HlJ	m	00068CFD5A	12	33.3	314
FVB/NJ	f	00068B299D	18	33.3	301
FVB/NJ	m	00069A1458	18	33.3	353
KK/HlJ	m	00068B13EC	6	33.4	429
C3H/HeJ	m	00068B1B79	12	33.4	292
C57BL/6J	m	00068B1892	12	33.4	283
NZW/LacJ	m	00068AFFBB	6	33.5	357
KK/HlJ	m	00068CFD5A	6	33.6	384
NOD.B10Sn-H2<b>/J	m	SC-3367	6	33.6	372
NOD.B10Sn-H2<b>/J	m	SC-3368	6	33.6	377
RIIIS/J	m	00068B2B56	6	33.6	259
CBA/J	f	00068B0123	12	33.6	340
C57BL/10J	m	00068B0360	6	33.7	293
KK/HlJ	f	00068D4A75	6	33.7	450
C57BLKS/J	m	00068B1CE0	12	33.7	270
NON/ShiLtJ	f	00068B06AE	12	33.7	414
C57L/J	m	00068D07EF	18	33.7	289
RIIIS/J	m	00068AFBB8	18	33.7	310
NON/ShiLtJ	f	00068B01C6	6	33.8	355
CBA/J	m	00069a1e29	18	33.8	306
NZW/LacJ	f	00068AF84C	18	33.8	330
C57BL/6J	m	00068B0729	6	33.9	256
CBA/J	f	00068B142C	6	33.9	301
NZW/LacJ	m	00068B2099	6	33.9	337
RIIIS/J	m	00068B1A4D	6	33.9	266
SM/J	m	SC-433	6	33.9	236
129S1/SvImJ	m	00068B0A37	12	33.9	342
C57BL/6J	m	00068B08C8	12	33.9	267
KK/HlJ	f	00068D4A75	12	33.9	367
MRL/MpJ	f	00068D19DA	12	33.9	323
NON/ShiLtJ	f	00068B01C6	12	33.9	388
A/J	m	00068CE750	18	33.9	353
BUB/BnJ	m	00069a24e6	18	33.9	382
NON/ShiLtJ	f	00068B12A5	6	34	308
KK/HlJ	m	00068AF52B	12	34	266
NOD.B10Sn-H2<b>/J	f	00069a04d8	12	34	374
BTBR T+ tf/J	m	00068B15D9	18	34	337
BALB/cByJ	m	00068B0ED7	6	34.1	343
C57BL/6J	m	00068B0729	18	34.1	275
MRL/MpJ	m	00068B262C	18	34.1	275
NOD.B10Sn-H2<b>/J	m	SC-3364	6	34.2	410
BUB/BnJ	m	00068AF246	12	34.2	357
RIIIS/J	m	00068B1920	12	34.2	299
BTBR T+ tf/J	f	00068B1A93	6	34.3	402
NOD.B10Sn-H2<b>/J	m	SC-3365	6	34.3	407
C3H/HeJ	m	00068AFC84	6	34.4	420
CBA/J	m	00068B1623	12	34.4	360
FVB/NJ	m	00069A1458	12	34.4	338
C57BR/cdJ	m	00068B1383	18	34.4	245
DBA/2J	m	00069A15CD	18	34.4	268
C57BL/6J	m	00068B08C8	6	34.5	296
C57L/J	f	00068CDF11	6	34.5	420
NZW/LacJ	f	00068B0F4E	6	34.5	371
CBA/J	m	00068B11A6	12	34.5	364
NZW/LacJ	m	00068B26C6	12	34.5	257
BTBR T+ tf/J	f	00068B04DB	18	34.5	366
P/J	m	00069a12a4	6	34.6	248
BUB/BnJ	m	00068B0D9B	12	34.6	358
C57L/J	m	00068CD81A	6	34.7	316
KK/HlJ	f	00068CEDDD	6	34.7	522
KK/HlJ	f	00068D042E	12	34.7	429
BTBR T+ tf/J	m	00068B118E	18	34.7	279
FVB/NJ	m	00069A04CB	18	34.7	366
NOD.B10Sn-H2<b>/J	m	SC-3366	6	34.8	358
KK/HlJ	m	00068B10AB	12	34.8	238
C57L/J	m	00068CE08C	18	34.8	303
DBA/2J	m	000699f787	6	34.9	267
C57L/J	f	00068D27B5	12	34.9	401
NON/ShiLtJ	f	00068B0681	12	34.9	399
C57BL/6J	f	00068AFD43	18	34.9	373
NON/ShiLtJ	m	00068AF7E9	18	34.9	329
KK/HlJ	m	00068B1BCC	12	35	169
BTBR T+ tf/J	m	00068AF68E	12	35.1	200
KK/HlJ	m	00068B13EC	12	35.1	330
NZW/LacJ	m	00068B11CA	18	35.1	385
BUB/BnJ	m	00068B0D9B	6	35.2	392
C57BR/cdJ	m	00068B1F06	12	35.2	307
129S1/SvImJ	m	00068AF6C6	18	35.2	329
C3H/HeJ	m	00068AFAEB	6	35.3	331
C57BR/cdJ	m	00068B07A3	12	35.3	340
129S1/SvImJ	m	SC-720	18	35.3	328
SM/J	m	SC-432	6	35.4	255
DBA/2J	m	00068AFBC0	6	35.5	316
NON/ShiLtJ	m	00068B0671	18	35.5	351
AKR/J	f	SC-115	6	35.6	386
NZW/LacJ	m	00068B0AE3	6	35.6	422
RIIIS/J	m	00068B16A8	6	35.6	294
BTBR T+ tf/J	m	00068AFA3B	6	35.7	376
NZW/LacJ	m	00068B26C6	6	35.7	382
C57L/J	m	00068CD8D0	12	35.7	310
NOD.B10Sn-H2<b>/J	f	00069a247f	12	35.7	375
BUB/BnJ	m	00068B0187	6	35.8	399
AKR/J	f	SC-121	6	35.9	408
C57BL/10J	m	00068B0F3B	12	35.9	219
A/J	f	00068B10B5	12	36	352
CBA/J	f	SC-5085	18	36	212
BTBR T+ tf/J	m	00068B1B18	6	36.1	359
NON/ShiLtJ	m	00068AF7E9	6	36.1	241
NOD.B10Sn-H2<b>/J	m	00069a1c5b	12	36.1	373
NZW/LacJ	m	00068AFFBB	12	36.1	289
SM/J	m	00068ce37e	12	36.1	240
BTBR T+ tf/J	m	00068B2428	18	36.2	216
AKR/J	f	SC-114	6	36.3	354
BALB/cByJ	m	00068B0CAE	6	36.3	392
NOD.B10Sn-H2<b>/J	m	00069a1459	18	36.3	328
BTBR T+ tf/J	f	00068B11D0	6	36.4	500
C57BR/cdJ	m	00068B16CA	12	36.4	361
BTBR T+ tf/J	f	SC-1334	18	36.4	348
CBA/J	f	00069a18af	18	36.4	355
129S1/SvImJ	m	00068AF6C6	6	36.5	318
C3H/HeJ	m	00068B0593	6	36.5	361
DBA/2J	m	00068B069D	6	36.5	237
RIIIS/J	m	00068B2B56	12	36.5	286
NZW/LacJ	m	00068AF1A1	18	36.5	413
C57BR/cdJ	m	00069a25b3	6	36.6	308
P/J	m	SC-8617	6	36.6	328
NZW/LacJ	f	00068B0626	12	36.6	276
KK/HlJ	m	00068AF52B	18	36.6	308
BTBR T+ tf/J	m	00068B118F	12	36.7	416
NON/ShiLtJ	m	00068AF7E9	12	36.7	328
NON/ShiLtJ	f	SC-585	6	36.8	367
BTBR T+ tf/J	f	00069a0354	18	36.8	325
DBA/2J	m	00068B0BE3	6	36.9	286
P/J	m	SC-8616	6	36.9	325
C3H/HeJ	f	00068B14B1	12	36.9	321
MRL/MpJ	f	00068CF9B0	12	36.9	245
BTBR T+ tf/J	m	00068B14BB	18	36.9	327
BTBR T+ tf/J	m	00068B1E2C	6	37.1	352
BUB/BnJ	m	00068B250C	6	37.1	370
NZW/LacJ	m	00068B2099	12	37.1	289
BTBR T+ tf/J	m	00068B1359	18	37.1	301
BTBR T+ tf/J	f	00068B2314	6	37.2	427
NOD.B10Sn-H2<b>/J	m	SC-3363	6	37.2	375
DBA/2J	m	00068AF8BB	12	37.3	269
SM/J	f	00068AF5A1	12	37.3	223
BTBR T+ tf/J	f	00068B2737	18	37.3	412
C3H/HeJ	m	00068B1B79	6	37.4	322
KK/HlJ	m	00068D2A26	12	37.4	283
C57L/J	f	00068CDF11	12	37.5	451
NZW/LacJ	f	00068B2402	12	37.6	284
C57L/J	m	00068CD8D0	6	37.8	326
129S1/SvImJ	m	00068AF6C6	12	37.8	332
C57BR/cdJ	m	00068B1383	12	37.8	330
NOD.B10Sn-H2<b>/J	f	00069a104f	12	37.8	403
NZW/LacJ	m	00068B0874	6	37.9	391
C57L/J	m	00068CF9F3	12	37.9	299
NOD.B10Sn-H2<b>/J	m	00069a1b05	12	37.9	374
C57BR/cdJ	m	00068B2775	18	37.9	328
BTBR T+ tf/J	f	00068B1205	6	38	451
CBA/J	m	00068AF621	12	38	376
BTBR T+ tf/J	f	00068B0026	6	38.1	443
BUB/BnJ	m	00068B106A	6	38.1	334
NZW/LacJ	f	00068B2945	6	38.2	410
NZW/LacJ	f	00068B0E98	6	38.3	336
C57BR/cdJ	m	00068B0FED	12	38.3	339
NZW/LacJ	m	00068B0AE3	12	38.3	305
CBA/J	f	SC-5083	18	38.3	335
NZW/LacJ	f	00068B0F4E	12	38.4	400
C57BR/cdJ	m	00068B0FED	18	38.4	290
C57L/J	m	00068CF9F3	18	38.4	307
BALB/cByJ	m	00068AFC53	6	38.6	417
NZW/LacJ	m	00068B15E3	6	38.6	377
C57BR/cdJ	m	00068AFA8E	18	38.6	338
KK/HlJ	m	00068D3BBC	6	38.8	307
NON/ShiLtJ	f	00068B06AE	6	38.8	369
CBA/J	m	00068AF621	6	38.9	314
NOD.B10Sn-H2<b>/J	f	00069a2805	12	38.9	398
NZW/LacJ	f	00068B0626	18	38.9	296
SM/J	m	00068d396e	18	38.9	243
NON/ShiLtJ	m	00068AFB13	12	39	361
NON/ShiLtJ	f	00068B0F56	18	39	429
NZW/LacJ	f	00068B2402	18	39	379
C57L/J	m	00068CE08C	12	39.1	287
C57L/J	m	00068CE64F	12	39.1	281
KK/HlJ	m	00068D2A26	6	39.2	407
BTBR T+ tf/J	f	00068B2314	12	39.3	425
NOD.B10Sn-H2<b>/J	m	00069a0b8f	12	39.5	376
NON/ShiLtJ	f	00068B0F56	6	39.8	439
MRL/MpJ	f	00068CE907	12	39.8	309
NOD.B10Sn-H2<b>/J	f	00069a2b16	12	40	386
NZW/LacJ	m	00068B15E3	12	40	282
CBA/J	m	00068B28DB	12	40.1	324
NZW/LacJ	f	00068B2945	12	40.1	360
C57L/J	m	00068D07EF	12	40.2	346
C57BR/cdJ	m	00068B07A3	18	40.2	304
NOD.B10Sn-H2<b>/J	m	00069a2e88	12	40.3	428
C57BR/cdJ	m	00068B1F06	18	40.3	298
