strain	sex	animal_id	age	body_weight_g	IGF1_ng-mL
WSB/EiJ	m	00069a2bdf	18	18.7	230
WSB/EiJ	m	SC-9496	6	18.8	249
CAST/EiJ	f	000699FFBF	18	18.8	342
PWD/PhJ	f	00068CEAB4	12	19	440
WSB/EiJ	f	00069a2d04	12	19	250
PL/J	f	00068B015D	18	19	270
PWD/PhJ	f	00068CF842	12	19.1	404
PWD/PhJ	f	00068D0217	12	19.1	408
CAST/EiJ	m	SC-9072	6	19.2	417
PWD/PhJ	m	00068B095F	6	19.2	328
SM/J	f	00068CDDF8	6	19.2	168
SM/J	f	SC-435	6	19.2	111
SJL/J	f	00068AFA64	12	19.3	226
WSB/EiJ	m	00069A217E	12	19.3	289
RIIIS/J	f	00068CFEC2	12	19.4	185
BALB/cByJ	m	00068AF5BB	18	19.4	244
LP/J	f	SC-3048	6	19.6	274
LP/J	f	00068D3606	12	19.6	271
SJL/J	m	00068D430C	12	19.6	245
SM/J	f	00068B20D9	12	19.6	191
SM/J	f	00068D0126	6	19.7	216
SWR/J	f	00068B1C6A	6	19.7	308
PL/J	f	00068CF32D	12	19.7	231
MRL/MpJ	f	00068D19DA	18	19.7	214
PWD/PhJ	f	00068CDEDB	6	19.8	362
PL/J	f	00068B015D	12	19.8	185
PWD/PhJ	f	00068CFC09	12	19.8	344
WSB/EiJ	m	SC-9497	6	19.9	228
WSB/EiJ	m	000699F7D1	12	19.9	295
PWD/PhJ	f	00068CE75F	12	20	426
SWR/J	f	00068B1C6A	12	20	285
SJL/J	f	00068B1379	6	20.1	200
129S1/SvImJ	m	00069A02E5	18	20.1	220
PL/J	f	00069a1c7c	6	20.2	234
SJL/J	f	00068B0D3C	6	20.2	297
LP/J	f	00068D1390	12	20.2	255
SWR/J	f	00068B1C6A	18	20.2	312
KK/HlJ	f	00068AF49A	6	20.3	398
LP/J	f	000699f910	6	20.3	320
RIIIS/J	f	000699ff35	6	20.3	278
SWR/J	f	00068B1832	6	20.3	347
WSB/EiJ	f	00069a16f6	18	20.3	249
BUB/BnJ	f	000666D252	6	20.4	347
C57BL/6J	f	00069A079E	6	20.4	231
PL/J	f	000699f670	6	20.4	247
PWD/PhJ	m	00068B0821	18	20.4	274
KK/HlJ	f	00068AF49A	12	20.5	252
LP/J	f	000699f98a	6	20.6	312
PL/J	f	00069a1f3f	6	20.6	272
C57BLKS/J	f	00068afe86	12	20.6	214
PWD/PhJ	m	00069a1655	18	20.6	217
C57BLKS/J	f	00068CF421	6	20.8	308
SJL/J	f	00068B0DB0	12	20.8	297
RIIIS/J	f	00068CF909	18	20.8	224
PWD/PhJ	m	00068D089F	6	20.9	340
SJL/J	f	00068B1AE6	6	20.9	326
WSB/EiJ	m	000699fc6e	12	20.9	242
WSB/EiJ	m	00069a2bdf	12	20.9	269
129S1/SvImJ	m	00068CFF5C	18	20.9	187
C3H/HeJ	f	00068B0417	18	20.9	270
C57BLKS/J	f	00068b0724	18	20.9	189
PL/J	f	00068D35D8	18	20.9	258
PWD/PhJ	m	00068B2C19	18	20.9	280
C57BLKS/J	f	00068D3AAD	6	21	274
SJL/J	m	00068AF499	12	21	287
C57BLKS/J	f	00068afe86	18	21	270
SM/J	f	00068CEAE8	6	21.1	101
SM/J	f	00068D0357	6	21.1	186
PL/J	f	00068D03CD	12	21.1	286
A/J	m	00068B1A97	18	21.1	297
LP/J	f	00068D3606	18	21.1	309
NON/ShiLtJ	f	00068B0159	18	21.1	224
DBA/2J	f	00068B103C	6	21.2	213
RIIIS/J	f	00069a1c35	6	21.2	342
DBA/2J	f	00068B09A9	12	21.2	211
SM/J	m	00068cdae0	12	21.2	187
PWD/PhJ	f	00068CE75F	18	21.2	303
SJL/J	f	00068B0DB0	18	21.3	341
RIIIS/J	f	00069a12ff	6	21.4	261
LP/J	f	00068D2D54	12	21.4	326
WSB/EiJ	m	00069a18d6	12	21.4	267
C3H/HeJ	f	00068B225D	18	21.4	268
LP/J	f	00068D1390	18	21.4	259
129S1/SvImJ	f	00068AFED4	6	21.5	254
P/J	f	00068D3080	6	21.5	318
SJL/J	f	00068B135D	6	21.5	323
WSB/EiJ	m	SC-9495	6	21.5	245
C57BL/10J	f	00068B0E8F	12	21.5	236
C57BLKS/J	f	00068CFDAB	6	21.6	318
SWR/J	f	00068AFD73	6	21.6	349
C3H/HeJ	f	00068B0C7C	12	21.6	240
C57BLKS/J	f	00068b1157	12	21.6	244
C3H/HeJ	f	00068B0C7C	18	21.6	279
DBA/2J	f	00068B1862	18	21.6	215
RIIIS/J	f	00069a07c6	6	21.7	261
BALB/cByJ	f	00068B1F43	6	21.8	313
LP/J	f	000699fbf6	6	21.8	265
LP/J	f	00069a0411	6	21.8	271
P/J	f	00068D3343	6	21.8	336
WSB/EiJ	m	SC-9498	6	21.8	224
C57BL/10J	f	00068AF8D1	12	21.8	222
PWD/PhJ	m	00068B095F	12	21.8	366
SJL/J	f	00068B0D3C	12	21.8	263
A/J	m	00068b015a	6	21.9	240
