strain	sex	animal_id	age	percent_MME	urine_albumin_ug-dL	urine_creatinine_mg-dL	urine_ACR
CAST/EiJ	f	00068D2329	12	NA	1.09	77.7	14
CAST/EiJ	f	00068CE810	12	NA	1.67	70	24
CAST/EiJ	m	SC-8384	12	NA	0.88	86.6	10
CAST/EiJ	m	SC-8896	12	NA	1.29	102	13
CAST/EiJ	m	SC-8385	12	NA	4.56	70.9	64
CAST/EiJ	m	SC-8897	12	NA	5.85	83.1	70
CAST/EiJ	m	SC-8894	12	NA	8.3	68.8	121
CAST/EiJ	m	SC-8895	12	NA	8.87	71.3	124
CAST/EiJ	m	SC-8898	12	NA	13.8	66.1	209
CBA/J	f	00068AF51A	12	NA	0	116	0
CBA/J	f	00068AF644	12	NA	0	94.1	0
CBA/J	f	00068B05B2	12	NA	0	98	0
CBA/J	f	00068B0DF9	12	NA	0	90.6	0
CBA/J	f	00068B1FBF	12	NA	0	94.8	0
CBA/J	f	00068B2790	12	NA	0	93.2	0
CBA/J	f	00068B28F4	12	NA	0	101	0
CBA/J	m	00068B00FB	12	NA	0	97.1	0
CBA/J	m	00068AFFBD	12	NA	1.84	106	17
CBA/J	m	00068AF3EB	12	NA	2.04	106	19
CBA/J	m	00068B05BF	12	NA	2.14	92.2	23
CBA/J	m	00068B03F3	12	NA	2.28	107	21
CBA/J	m	00068B1933	12	NA	3.2	87.4	37
CBA/J	m	00068B0468	12	NA	4.59	86.7	53
DBA/2J	f	00068D0E8F	12	NA	0	96	0
DBA/2J	f	00068D1B42	12	NA	0	71.1	0
DBA/2J	f	00068D3033	12	NA	0	105	0
DBA/2J	f	00068D4480	12	NA	0	82.6	0
DBA/2J	f	00068CD774	12	NA	1.19	37.2	32
DBA/2J	f	00068D30C7	12	NA	28.5	51.2	557
DBA/2J	m	00068B03DA	12	NA	0	67.1	0
DBA/2J	m	00068B1BEB	12	NA	0	98.9	0
DBA/2J	m	00068B2987	12	NA	0	80.3	0
DBA/2J	m	00068B09ED	12	NA	1.6	94.3	17
DBA/2J	m	00068AF28B	12	NA	2.07	67.8	31
FVB/NJ	f	00068AF08C	12	NA	0	133	0
FVB/NJ	f	00068AFB25	12	NA	0	92.7	0
FVB/NJ	f	00068B02EC	12	NA	0	91.5	0
FVB/NJ	f	00068B14B6	12	NA	0	98	0
FVB/NJ	f	00068B1DB2	12	NA	0	93.8	0
FVB/NJ	f	00068B2732	12	NA	0	95.4	0
FVB/NJ	f	00068AF79C	12	NA	2.69	96.3	28
FVB/NJ	m	00068AFF29	12	NA	0	148	0
FVB/NJ	m	00068B051D	12	NA	0	142	0
FVB/NJ	m	00068B2486	12	NA	0	148	0
FVB/NJ	m	00068AF281	12	NA	0.75	157	5
FVB/NJ	m	00068B150A	12	NA	0.92	154	6
FVB/NJ	m	00068D0C81	12	NA	1.63	206	8
FVB/NJ	m	00068B287B	12	NA	2.86	82.5	35
FVB/NJ	m	00068B29D4	12	NA	5.41	66.5	81
KK/HlJ	f	00068D0875	12	NA	0	62	0
KK/HlJ	f	00068AF49A	12	NA	3.54	75	47
KK/HlJ	f	00068D2DEA	12	NA	6.8	82.5	82
KK/HlJ	f	00068CEDDD	12	NA	17.2	94.4	182
KK/HlJ	f	00068D4A75	12	NA	35.8	94.8	378
KK/HlJ	f	00068D042E	12	NA	50	54.9	911
KK/HlJ	f	00068CED2C	12	NA	94.9	52.9	1790
KK/HlJ	m	00068CE6FA	12	NA	1.09	117	9
KK/HlJ	m	00068D0963	12	NA	1.19	92.8	13
KK/HlJ	m	00068CD8AD	12	NA	2.21	86.2	26
KK/HlJ	m	00068CEA69	12	NA	2.58	85.6	30
KK/HlJ	m	00068D0CBA	12	NA	2.86	114	25
KK/HlJ	m	00068CD987	12	NA	3.98	106	38
KK/HlJ	m	00068D1E5F	12	NA	8.77	112	78
KK/HlJ	m	00068D00AB	12	NA	9.76	47.4	206
LP/J	f	00068B094E	12	NA	0	95.7	0
LP/J	f	00068B0E32	12	NA	0	66	0
LP/J	f	00068B1AFF	12	NA	0	76.7	0
LP/J	f	00068B1EEB	12	NA	0	68.5	0
LP/J	f	00068CF0D4	12	NA	0	66.1	0
LP/J	f	SC-3075	12	NA	0	98.2	0
LP/J	f	SC-3076	12	NA	0	177	0
LP/J	f	SC-3077	12	NA	3.81	134	28
LP/J	m	00068AF5FC	12	NA	0	80.2	0
LP/J	m	00068AF905	12	NA	0	72.3	0
LP/J	m	00068AFE37	12	NA	0	68.4	0
LP/J	m	00068B00DF	12	NA	0	55.4	0
LP/J	m	00068B0661	12	NA	0	94.3	0
LP/J	m	00068B1FC5	12	NA	0	56.8	0
LP/J	m	00068B2984	12	NA	0	95	0
LP/J	m	00068B2AD2	12	NA	0	74.2	0
MRL/MpJ	f	00068AF786	12	NA	0	62.9	0
MRL/MpJ	f	00068B0868	12	NA	0	85.8	0
MRL/MpJ	f	00068B14C4	12	NA	0	79.7	0
MRL/MpJ	f	00068B15BE	12	NA	0	62.8	0
MRL/MpJ	f	00068B23FF	12	NA	0	123	0
MRL/MpJ	f	00068B1D39	12	NA	22.4	140	160
MRL/MpJ	f	00068B21D1	12	NA	111	131	847
MRL/MpJ	m	00068CE339	12	NA	0	53.9	0
MRL/MpJ	m	00068CEBC1	12	NA	0	82.8	0
MRL/MpJ	m	00068CF2AD	12	NA	0	55.8	0
MRL/MpJ	m	00068CFB9E	12	NA	0	62.7	0
MRL/MpJ	m	00068D04BF	12	NA	0	121	0
MRL/MpJ	m	00068D09C6	12	NA	0	63.5	0
MRL/MpJ	m	00068D3CB0	12	NA	0	66.2	0
MRL/MpJ	m	00068CFA47	12	NA	3.09	72.3	43
NOD.B10Sn-H2<b>/J	f	000699fadd	12	NA	0	63.3	0
NOD.B10Sn-H2<b>/J	f	000699fd7a	12	NA	0	89.7	0
NOD.B10Sn-H2<b>/J	f	00069a03f0	12	NA	0	45.6	0
NOD.B10Sn-H2<b>/J	f	00069a0d3f	12	NA	0	83.2	0
NOD.B10Sn-H2<b>/J	f	00069a1789	12	NA	0	54.3	0
NOD.B10Sn-H2<b>/J	f	00069a2488	12	NA	0	60.6	0
NOD.B10Sn-H2<b>/J	f	00069a249a	12	NA	0	60	0
NOD.B10Sn-H2<b>/J	m	00069a0751	12	NA	0	81.6	0
NOD.B10Sn-H2<b>/J	m	00069a0e49	12	NA	0	63.7	0
NOD.B10Sn-H2<b>/J	m	00069a11ee	12	NA	0	113	0
NOD.B10Sn-H2<b>/J	m	00069a2a31	12	NA	0	55.2	0
NOD.B10Sn-H2<b>/J	m	000699f917	12	NA	2.18	79.3	27
NOD.B10Sn-H2<b>/J	m	00069a10fc	12	NA	2.21	108	20
NOD.B10Sn-H2<b>/J	m	00069a0392	12	NA	3.94	94.1	42
NOD.B10Sn-H2<b>/J	m	00069a228a	12	NA	9.38	41.5	226
NOD.B10Sn-H2<b>/J	m	00069a048f	12	NA	90.5	60.6	1490
NOD.B10Sn-H2<b>/J	m	00069a1459	12	NA	91.9	80.8	1140
NON/ShiLtJ	f	00068AFC77	12	NA	0	119	0
NON/ShiLtJ	f	00068B041C	12	NA	0	119	0
NON/ShiLtJ	f	00068B05C1	12	NA	0	107	0
NON/ShiLtJ	f	00068B16AD	12	NA	0	151	0
NON/ShiLtJ	f	00068B0A1B	12	NA	39.3	78	504
NON/ShiLtJ	f	00068B2344	12	NA	53.7	115	467
NON/ShiLtJ	f	00068B225A	12	NA	55.8	64.6	864
NON/ShiLtJ	f	00068AFD06	12	NA	61.7	105	588
NON/ShiLtJ	m	00068AFEF0	12	NA	0	64.4	0
NON/ShiLtJ	m	00068B29F4	12	NA	1.19	110	11
NON/ShiLtJ	m	00068B2835	12	NA	1.22	83.1	15
NON/ShiLtJ	m	00068AFD93	12	NA	1.46	70.7	21
NON/ShiLtJ	m	00068AF8B6	12	NA	1.8	110	16
NON/ShiLtJ	m	00068B0F85	12	NA	2.01	81.7	25
NON/ShiLtJ	m	00068B1DED	12	NA	3.77	73.8	51
NON/ShiLtJ	m	00068B2223	12	NA	6.09	115	53
NZO/HlLtJ	f	00068B06F5	12	NA	0	51.9	0
NZO/HlLtJ	f	00068B2001	12	NA	0	38.1	0
NZO/HlLtJ	f	00068CEF36	12	NA	0	59.9	0
NZO/HlLtJ	f	00068B1A43	12	NA	0.51	51	10
NZO/HlLtJ	f	00068B09B6	12	NA	1.6	44.4	36
NZO/HlLtJ	f	00068D30D2	12	NA	2.45	71.2	34
NZO/HlLtJ	f	00068AF8BF	12	NA	5.88	35.7	165
NZO/HlLtJ	m	00068B2653	12	NA	0	61	0
NZO/HlLtJ	m	00068B2B93	12	NA	0	73.6	0
NZO/HlLtJ	m	00068CE07C	12	NA	0	34.9	0
NZO/HlLtJ	m	00068D1A2D	12	NA	5.34	33.2	161
NZO/HlLtJ	m	00068B071E	12	NA	7.14	55.7	128
NZO/HlLtJ	m	00068D08D7	12	NA	30.1	58	519
NZW/LacJ	f	00068AF715	12	NA	0	18.1	0
NZW/LacJ	f	00068AFF83	12	NA	0	58.5	0
NZW/LacJ	f	00068B02BF	12	NA	0	20.1	0
NZW/LacJ	f	00068B0481	12	NA	0	69.5	0
NZW/LacJ	f	00068B14DF	12	NA	0	57.8	0
NZW/LacJ	f	00068B1C88	12	NA	0	18	0
NZW/LacJ	f	00068B1247	12	NA	1.56	26	60
NZW/LacJ	f	00068B1092	12	NA	2.62	29.6	89
NZW/LacJ	m	00068AFC21	12	NA	0	54.4	0
NZW/LacJ	m	00068B190A	12	NA	0	72.1	0
NZW/LacJ	m	00068CE345	12	NA	0	60.3	0
NZW/LacJ	m	00068D0A5F	12	NA	0	66.4	0
NZW/LacJ	m	00068D22F7	12	NA	0.65	77.2	8
NZW/LacJ	m	00068D1391	12	NA	0.71	79.3	9
NZW/LacJ	m	00068CD8D9	12	NA	2.82	90.7	31
NZW/LacJ	m	00068CF88F	12	NA	3.16	97.2	33
P/J	f	000699f8fe	12	NA	0	28.8	0
P/J	f	000699fb09	12	NA	0	64.2	0
P/J	f	00069a091e	12	NA	0	94.2	0
P/J	f	00069a1eb2	12	NA	0	29.1	0
P/J	f	00069a2f2a	12	NA	0	38.5	0
P/J	f	00069a20f8	12	NA	6.26	38	165
P/J	f	00069a1c2e	12	NA	33.1	114	290
P/J	m	00069a0395	12	NA	0	53.6	0
P/J	m	00069a1904	12	NA	0	78.1	0
P/J	m	00069a2033	12	NA	0	53.3	0
P/J	m	00069a12a4	12	NA	0.31	97.1	3
PL/J	f	00068B015D	12	NA	0	46.5	0
PL/J	f	00068B10E4	12	NA	0	59.2	0
PL/J	f	00068B24A1	12	NA	0	46	0
PL/J	f	SC-5799	12	NA	0	90.3	0
PL/J	f	SC-5800	12	NA	0	60.8	0
PL/J	f	SC-5801	12	NA	0	61.2	0
PL/J	f	00068CD742	12	NA	6.09	57.3	106
PL/J	m	00068B07A7	12	NA	0	99.8	0
PL/J	m	00068B0CB1	12	NA	0	109	0
PL/J	m	00068B0F08	12	NA	0	87.5	0
PL/J	m	00068B1B22	12	NA	0	91.3	0
PL/J	m	00068B1B20	12	NA	0.61	104	6
PL/J	m	00068B26C2	12	NA	0.68	92.9	7
PWD/PhJ	f	00068AFCFB	12	NA	0	52.3	0
PWD/PhJ	f	00068B0566	12	NA	0	56.5	0
PWD/PhJ	f	00068B0AF6	12	NA	0	55.6	0
PWD/PhJ	f	00068B0DF3	12	NA	0	17.3	0
PWD/PhJ	f	00068B12F3	12	NA	0	54.8	0
PWD/PhJ	f	00068B1B91	12	NA	0	64.3	0
PWD/PhJ	f	00068B1BC7	12	NA	0	55.3	0
PWD/PhJ	f	00068B1DFA	12	NA	0	20.2	0
PWD/PhJ	m	00068AF292	12	NA	0	72.6	0
PWD/PhJ	m	00068B2AE6	12	NA	1.02	55.7	18
PWD/PhJ	m	00068D3980	12	NA	1.09	55.8	20
PWD/PhJ	m	00068AF3DA	12	NA	2.14	112	19
PWD/PhJ	m	00068AFF07	12	NA	2.58	58.4	44
PWD/PhJ	m	00069a2c01	12	NA	10.1	136	74
PWD/PhJ	m	00069a0b66	12	NA	21.4	71.1	301
PWD/PhJ	m	00069a00e1	12	NA	23.1	72.5	319
RIIIS/J	f	00068D1290	12	NA	0	92.4	0
RIIIS/J	f	00068D1438	12	NA	0	142	0
RIIIS/J	f	00068D1485	12	NA	0	80.5	0
RIIIS/J	f	00068D286F	12	NA	0	77.8	0
RIIIS/J	f	00068CF87E	12	NA	0.44	86.5	5
RIIIS/J	f	00068CDB05	12	NA	1.84	101	18
RIIIS/J	f	00068CF640	12	NA	2.99	73.4	41
RIIIS/J	f	00068D19CA	12	NA	31.5	106	297
RIIIS/J	m	00068AF20F	12	NA	0	106	0
RIIIS/J	m	00068CDF1F	12	NA	0	52.1	0
RIIIS/J	m	00068D1383	12	NA	0	83.6	0
RIIIS/J	m	00068D12DA	12	NA	0.88	101	9
RIIIS/J	m	00068D0FCA	12	NA	0.99	97.7	10
RIIIS/J	m	00068D0B28	12	NA	1.63	42.6	38
RIIIS/J	m	00068D0F07	12	NA	2.11	102	21
RIIIS/J	m	00068CD5AD	12	NA	2.62	110	24
SJL/J	f	00068B1DA5	12	NA	0	44.8	0
SJL/J	f	00068B0499	12	NA	0.75	57.3	13
SJL/J	f	00068B1225	12	NA	13.8	120	115
SJL/J	f	00068B10F5	12	NA	17.2	67.8	254
SJL/J	f	00068AFEBA	12	NA	30.6	61.9	494
SJL/J	m	00069A0028	12	NA	0	34.4	0
SJL/J	m	00069a1c50	12	NA	0	40.7	0
SJL/J	m	SC-4396	12	NA	0	91	0
SJL/J	m	SC-4399	12	NA	0	102	0
SJL/J	m	SC-4400	12	NA	0	66.9	0
SJL/J	m	00069a1251	12	NA	0.44	60.5	7
SJL/J	m	SC-4407	12	NA	0.82	63.7	13
SJL/J	m	SC-4408	12	NA	0.95	67.9	14
SM/J	f	00068B1028	12	NA	0	86.6	0
SM/J	f	00068B14A6	12	NA	0	75.9	0
SM/J	f	00068B1688	12	NA	0	86.4	0
SM/J	f	00068B1CA2	12	NA	0	82.1	0
SM/J	f	00068B2710	12	NA	0	82.4	0
SM/J	f	00068B26BD	12	NA	0.54	83.3	6
SM/J	f	00068AF7DF	12	NA	16.7	91.1	183
SM/J	f	00068B0464	12	NA	40.8	84.6	482
SM/J	m	SC-4559	12	NA	0	67.7	0
SM/J	m	SC-4563	12	NA	0.82	44.7	18
SM/J	m	SC-4567	12	NA	1.19	20.3	59
SM/J	m	SC-4561	12	NA	1.33	68.2	20
SM/J	m	SC-4564	12	NA	1.7	38.7	44
SM/J	m	SC-4566	12	NA	1.87	39.6	47
SM/J	m	SC-4560	12	NA	2.92	61.3	48
SM/J	m	SC-4562	12	NA	2.96	54	55
SM/J	m	SC-4565	12	NA	5.3	37	143
SWR/J	f	00068B2BFE	12	NA	0	27.3	0
SWR/J	f	00068B2618	12	NA	0.61	19.9	31
SWR/J	f	00068AFB8D	12	NA	0.92	15.9	58
SWR/J	f	00068B0411	12	NA	0.95	32.2	30
SWR/J	f	00068B219E	12	NA	1.02	23.5	43
SWR/J	f	00068B2C25	12	NA	2.45	52.4	47
SWR/J	f	00068B0225	12	NA	2.52	30.2	83
SWR/J	f	00068AFDAE	12	NA	2.55	40.7	63
SWR/J	m	00068B19A7	12	NA	0	44.3	0
SWR/J	m	00068B1CA4	12	NA	0	46.5	0
SWR/J	m	00068B1107	12	NA	0.75	41.4	18
SWR/J	m	00068AF9C4	12	NA	0.78	42	19
SWR/J	m	00068B08FC	12	NA	0.88	37.5	23
SWR/J	m	00068B02D4	12	NA	1.6	40.9	39
WSB/EiJ	f	00069a2c95	12	NA	0	110	0
WSB/EiJ	f	000699ffc5	12	NA	1.16	111	10
WSB/EiJ	f	00069a16f6	12	NA	2.28	124	18
WSB/EiJ	f	00069a2ddd	12	NA	3.77	102	37
WSB/EiJ	f	SC-5999	12	NA	3.94	83.1	47
WSB/EiJ	f	SC-6007	12	NA	4.01	108	37
WSB/EiJ	f	SC-5998	12	NA	8.57	93.1	92
WSB/EiJ	m	000699ffb0	12	NA	3.64	114	32
WSB/EiJ	m	00069a241b	12	NA	3.94	114	35
WSB/EiJ	m	00069a2407	12	NA	5.1	113	45
WSB/EiJ	m	00069a112d	12	NA	5.64	114	49
WSB/EiJ	m	00069a1de3	12	NA	7.99	107	75
WSB/EiJ	m	00069a02d0	12	NA	9.62	104	93
WSB/EiJ	m	00069a189a	12	NA	10.1	89.4	113
WSB/EiJ	m	000699f595	12	NA	11.3	112	101
129S1/SvImJ	f	00068B0CE6	18	NA	0	112	0
129S1/SvImJ	f	00068B27AB	18	NA	0	94.8	0
129S1/SvImJ	f	00068AFC4F	18	NA	0.85	81.7	10
129S1/SvImJ	f	00068AF233	18	NA	3.33	111	30
129S1/SvImJ	f	00068B0443	18	NA	8.74	63.6	137
129S1/SvImJ	f	00068B1641	18	NA	12.5	112	112
129S1/SvImJ	m	00069A0687	18	NA	0	111	0
129S1/SvImJ	m	00068B07D5	18	NA	0.58	94.5	6
129S1/SvImJ	m	00068B072B	18	NA	0.92	80.3	11
129S1/SvImJ	m	00068B0A37	18	NA	1.63	119	14
129S1/SvImJ	m	00068CF496	18	NA	1.9	62.5	30
129S1/SvImJ	m	00069A0692	18	NA	2.65	106	25
129S1/SvImJ	m	00068AF6C6	18	NA	6.73	104	65
129S1/SvImJ	m	00068B0F14	18	NA	7.14	71.1	100
A/J	f	SC-853	18	NA	5.68	132	43
A/J	f	SC-852	18	NA	7.24	129	56
A/J	f	SC-854	18	NA	7.38	152	49
A/J	f	00069a0cc6	18	NA	23.1	118	196
A/J	f	000699fbd3	18	NA	33.1	79.6	416
A/J	f	00069a1956	18	NA	45.5	103	442
A/J	m	00068D31E9	18	NA	0	137	0
A/J	m	00068D4362	18	NA	5	78.5	64
A/J	m	00068D3006	18	NA	11.5	73.5	156
A/J	m	00068D207D	18	NA	15.3	133	115
A/J	m	00068D4236	18	NA	33.8	110	307
A/J	m	SC-926	18	NA	34	89.5	380
A/J	m	00068D0D2E	18	NA	39	109	358
BALB/cByJ	f	SC-1098	18	NA	0	105	0
BALB/cByJ	f	SC-1099	18	NA	0	84.2	0
BALB/cByJ	f	SC-1100	18	NA	0	130	0
BALB/cByJ	f	SC-1101	18	NA	0	86.3	0
BALB/cByJ	f	SC-1102	18	NA	0	68.3	0
BALB/cByJ	f	SC-1103	18	NA	0	72.4	0
BALB/cByJ	f	SC-1104	18	NA	0	98.7	0
BALB/cByJ	f	SC-1105	18	NA	0	70.6	0
BALB/cByJ	m	00068AFE4B	18	NA	0	136	0
BALB/cByJ	m	00068B177C	18	NA	0	99	0
BALB/cByJ	m	00068CF5B6	18	NA	0	99.5	0
BALB/cByJ	m	00068D0C55	18	NA	0	117	0
BALB/cByJ	m	00068D2C59	18	NA	0	108	0
BALB/cByJ	m	00069a1d61	18	NA	0	110	0
BTBR T+ tf/J	f	00068AFCEB	18	NA	0	47.7	0
BTBR T+ tf/J	f	00068B0C00	18	NA	0	67.9	0
BTBR T+ tf/J	f	00068B263E	18	NA	1.56	62.9	25
BTBR T+ tf/J	f	00068B25EA	18	NA	5.41	40.8	133
BTBR T+ tf/J	f	00068B0285	18	NA	8.36	79	106
BTBR T+ tf/J	f	00068AFC75	18	NA	11.3	63.5	178
BTBR T+ tf/J	m	00069a1a96	18	NA	0	87.1	0
BTBR T+ tf/J	m	00069a1af6	18	NA	0	108	0
BTBR T+ tf/J	m	00069a25a6	18	NA	0	77.5	0
BTBR T+ tf/J	m	SC-5226	18	NA	0	107	0
BTBR T+ tf/J	m	SC-5227	18	NA	0	74.1	0
BTBR T+ tf/J	m	SC-5228	18	NA	0	90.5	0
BTBR T+ tf/J	m	00069a298b	18	NA	1.02	84.8	12
BUB/BnJ	f	00069a2ea4	18	NA	0	35.2	0
BUB/BnJ	f	SC-1443	18	NA	0	37.2	0
BUB/BnJ	f	SC-1446	18	NA	0	72.5	0
BUB/BnJ	f	SC-1450	18	NA	0	67.6	0
BUB/BnJ	f	SC-1451	18	NA	0	36.6	0
BUB/BnJ	f	00069a1fa6	18	NA	2.48	33.1	75
BUB/BnJ	f	SC-1452	18	NA	2.79	32.2	87
BUB/BnJ	f	SC-1445	18	NA	6.83	89.6	76
BUB/BnJ	f	00069a2652	18	NA	42.5	57.8	735
BUB/BnJ	f	00069a2af5	18	NA	51.6	33.2	1550
BUB/BnJ	f	SC-1444	18	NA	77.9	41.1	1900
BUB/BnJ	f	00069a21e5	18	NA	84.7	76	1110
BUB/BnJ	m	00069a1ae9	18	NA	0	96.2	0
BUB/BnJ	m	00069a1dbc	18	NA	0	138	0
BUB/BnJ	m	00069a2645	18	NA	0	109	0
BUB/BnJ	m	SC-6238	18	NA	0	89.3	0
BUB/BnJ	m	00069a18cf	18	NA	0.41	53.1	8
BUB/BnJ	m	SC-5247	18	NA	8.09	89.2	91
C3H/HeJ	f	00068B09E6	18	NA	0	139	0
C3H/HeJ	f	00068B1ED4	18	NA	0	96.3	0
C3H/HeJ	f	00068B20CD	18	NA	0.65	96.7	7
C3H/HeJ	f	00068B0291	18	NA	2.82	113	25
C3H/HeJ	f	00068B1E00	18	NA	5.64	99.6	57
C3H/HeJ	f	00068B143D	18	NA	8.02	120	67
C3H/HeJ	m	00068CEBDA	18	NA	0	126	0
C3H/HeJ	m	00068CED4E	18	NA	0	89.2	0
C3H/HeJ	m	00068CFCC0	18	NA	0	141	0
C3H/HeJ	m	00068D1E76	18	NA	0	95.3	0
C3H/HeJ	m	00068D47E4	18	NA	0	99.2	0
C3H/HeJ	m	00068CF8A3	18	NA	0.88	118	7
C57BL/10J	f	00068CF9DF	18	NA	0	96.9	0
C57BL/10J	f	00068D11F8	18	NA	0	60.2	0
C57BL/10J	f	00068B08B5	18	NA	0.61	96.9	6
C57BL/10J	f	00068D4378	18	NA	2.31	111	21
C57BL/10J	f	00068D0695	18	NA	3.71	82.8	45
C57BL/10J	f	00068CD932	18	NA	5.58	119	47
C57BL/10J	m	00068B26BC	18	NA	0	111	0
C57BL/10J	m	00068B2733	18	NA	0	89.8	0
C57BL/10J	m	00068AF118	18	NA	0.82	148	6
C57BL/10J	m	00068B003C	18	NA	0.85	117	7
C57BL/10J	m	00068B2611	18	NA	1.33	133	10
C57BL/10J	m	00068B1A3B	18	NA	5.58	123	45
C57BL/10J	m	00068B21B9	18	NA	8.87	93.9	94
C57BL/10J	m	00068B1C23	18	NA	9.21	75.9	121
C57BL/6J	f	00068AF373	18	NA	0	77.4	0
C57BL/6J	f	00068B0104	18	NA	0	58.9	0
C57BL/6J	f	00068B0F28	18	NA	0	44	0
C57BL/6J	f	00068B159B	18	NA	0	52.4	0
C57BL/6J	f	00068B2AA4	18	NA	5.34	50.4	106
C57BL/6J	f	00068B1762	18	NA	26.5	66	402
C57BL/6J	f	00068B0ECA	18	NA	32.1	65.2	492
C57BL/6J	m	00068AF61C	18	NA	0	99.4	0
C57BL/6J	m	00068B00E5	18	NA	0	62.6	0
C57BL/6J	m	00068B06F9	18	NA	0	91.4	0
C57BL/6J	m	00068B154D	18	NA	0	110	0
C57BL/6J	m	00068B2371	18	NA	0	107	0
C57BL/6J	m	00068B257C	18	NA	0	94.6	0
C57BL/6J	m	00068AF0EE	18	NA	5.41	67.2	81
C57BL/6J	m	00068B2292	18	NA	32.4	81.8	396
C57BLKS/J	f	00068AF4FF	18	NA	0	93.8	0
C57BLKS/J	f	00068AFAB3	18	NA	0	101	0
C57BLKS/J	f	00068B0352	18	NA	0	63.9	0
C57BLKS/J	f	00068B0F9C	18	NA	0	141	0
C57BLKS/J	f	00068D3533	18	NA	0	97.1	0
C57BLKS/J	f	00069a0352	18	NA	0	84.5	0
C57BLKS/J	f	00069a0555	18	NA	0	71.6	0
C57BLKS/J	f	00069a0965	18	NA	0	93.1	0
C57BLKS/J	f	SC-2052	18	NA	0	106	0
C57BLKS/J	f	SC-2053	18	NA	0	112	0
C57BLKS/J	f	00068B0D03	18	NA	2.35	55.5	42
C57BLKS/J	f	00068D4258	18	NA	7.55	49.2	153
C57BLKS/J	m	00069a09dc	18	NA	0	94.7	0
C57BLKS/J	m	00069a0af2	18	NA	0	97.4	0
C57BLKS/J	m	00069a2532	18	NA	0	30.9	0
C57BLKS/J	m	000699fb40	18	NA	0.65	79.1	8
C57BLKS/J	m	000699fa54	18	NA	0.92	78.9	12
C57BLKS/J	m	00069a22a7	18	NA	2.04	100	20
C57BLKS/J	m	00069a16dc	18	NA	5.2	87.7	59
C57BLKS/J	m	00069a2aa7	18	NA	9.76	111	88
C57BR/cdJ	f	00068AF129	18	NA	0	39.2	0
C57BR/cdJ	f	00068AF93E	18	NA	0	67.6	0
C57BR/cdJ	f	00068AFE3F	18	NA	0	89.5	0
C57BR/cdJ	f	00068B09C0	18	NA	0	73.1	0
C57BR/cdJ	f	00068B2624	18	NA	0	50.8	0
C57BR/cdJ	f	00068B19CA	18	NA	1.29	111	12
C57BR/cdJ	f	00068AFD6A	18	NA	6.43	76	85
C57BR/cdJ	m	00068AF200	18	NA	0	54.8	0
C57BR/cdJ	m	00068AFEBD	18	NA	0	56	0
C57BR/cdJ	m	00068AFFFD	18	NA	0	50.5	0
C57BR/cdJ	m	00068B086C	18	NA	0	56.2	0
C57BR/cdJ	m	00068B14AB	18	NA	0	67.5	0
C57BR/cdJ	m	00068B2080	18	NA	0	43.7	0
C57BR/cdJ	m	00068B2A55	18	NA	0	70.7	0
C57L/J	f	00068AFDB4	18	NA	0	73.5	0
C57L/J	f	00068B074E	18	NA	0	87.8	0
C57L/J	f	00068CDFDB	18	NA	0	66.8	0
C57L/J	f	00068CEB08	18	NA	0	34.7	0
C57L/J	f	00068CED3E	18	NA	0	79.2	0
C57L/J	f	00068CF2B6	18	NA	0	85.1	0
C57L/J	f	00068CFB04	18	NA	0	40.5	0
C57L/J	f	00068D14A6	18	NA	0	60.9	0
C57L/J	m	00068D07F9	18	NA	0	64.9	0
C57L/J	m	00068D3832	18	NA	0	77.3	0
C57L/J	m	00068CFE70	18	NA	0.88	54	16
C57L/J	m	00068B0AB6	18	NA	1.12	103	11
C57L/J	m	00068CEF7F	18	NA	3.71	62	60
C57L/J	m	00068CF428	18	NA	3.94	110	36
CAST/EiJ	f	00068CE60A	18	NA	0	128	0
CAST/EiJ	f	00068CE810	18	NA	0	122	0
CAST/EiJ	f	00068CD826	18	NA	1.26	88.8	14
CAST/EiJ	f	00068D210A	18	NA	2.18	70.3	31
CAST/EiJ	f	00068CE182	18	NA	10.2	59.5	171
CBA/J	f	00068AF51A	18	NA	0	123	0
CBA/J	f	00068AF644	18	NA	0	120	0
CBA/J	f	00068B05B2	18	NA	0	133	0
CBA/J	f	00068B0DF9	18	NA	0	130	0
CBA/J	f	00068B1FBF	18	NA	0	148	0
CBA/J	f	00068B22E4	18	NA	0	51.7	0
CBA/J	f	00068B2790	18	NA	0	119	0
CBA/J	f	00068B28F4	18	NA	0	135	0
CBA/J	m	00068AF3EB	18	NA	0	139	0
CBA/J	m	00068B00FB	18	NA	1.9	105	18
CBA/J	m	00068B0468	18	NA	1.9	82	23
CBA/J	m	00068B03F3	18	NA	4.39	107	41
CBA/J	m	00068B1933	18	NA	5	125	40
CBA/J	m	00068AFFBD	18	NA	9.49	112	85
DBA/2J	f	00068AFAF3	18	NA	0	85.5	0
DBA/2J	f	00068B09A9	18	NA	0	44.7	0
DBA/2J	f	00068D0E8F	18	NA	0	93.4	0
DBA/2J	f	00068D1B42	18	NA	0	65.9	0
DBA/2J	f	00068D3033	18	NA	0	106	0
DBA/2J	f	00068D4480	18	NA	0	54.3	0
DBA/2J	f	00068D30C7	18	NA	10.8	67.2	161
DBA/2J	m	00068B0EB0	18	NA	0	71.6	0
DBA/2J	m	00068B1BEB	18	NA	0	39.7	0
